Dates,ICICIGI.NS Y,HDFCLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of HDFCLIFE.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-10-06,1160.449951171875,529.6500244140625,-0.6404407091594669,-37.87726516148746,1198.3272163333625,,0.0002466893596274,,,,,,,,,,,,,,,
2022-10-07,1144.9000244140625,526.8499755859375,-0.8170178845952863,-48.3239903095332,1193.2240147235957,,0.0002782938168103,,,,,,,,,,,,,,,
2022-10-10,1129.0999755859375,533.2000122070312,-1.2648730495161065,-74.9412282714045,1204.041203857342,,0.0003094714527922,,,,,,,,,,,,,,,
2022-10-11,1135.050048828125,522.5499877929688,-0.8456851532396079,-50.08062012757705,1185.130668955702,,0.0002267710967513,,,,,,,,,,,,,,,
2022-10-12,1134.300048828125,526.5999755859375,-0.9773322481129092,-57.88390464295708,1192.183953471082,,0.0003075273326771,,,,,,,,,,,,,,,
2022-10-13,1131.800048828125,520.6500244140625,-0.837393634147262,-49.6073978271163,1181.4074466552413,,0.0003099490610671,,,,,,,,,,,,,,,
2022-10-14,1126.6500244140625,523.0,-0.986005035434038,-58.47646027962537,1185.126484693688,,0.000328952312894,,,,,,,,,,,,,,,
2022-10-17,1132.3499755859375,523.75,-0.9059271922992896,-53.77181474461554,1186.121790330553,,0.0003192309645971,,,,,,,,,,,,,,,
2022-10-18,1149.4000244140625,531.25,-0.8374678249600813,-49.75922663240158,1199.159251046464,,0.0003057959897786,,,,,,,,,,,,,,,
2022-10-19,1137.9000244140625,531.5499877929688,-1.033919688757374,-61.48968512224974,1199.3897095363122,,0.0003442600185064,,,,,,,,,,,,,,,
2022-10-20,1152.949951171875,537.2000122070312,-0.943984417617056,-56.20327069507857,1209.1532218669536,,0.0003416404620636,,,,,,,,,,,,,,,
2022-10-21,1151.75,541.9500122070312,-1.0977077259302426,-65.44881220752268,1217.198812207523,,0.0003714033945596,,,,,,,,,,,,,,,
2022-10-24,1150.0,541.5499877929688,-1.1070914179441884,-66.08957524420134,1216.0895752442011,,0.000369435424772,,,,,,,,,,,,,,,
2022-10-25,1153.949951171875,533.4500122070312,-0.7953636698510619,-47.484608428648016,1201.434559600523,,0.0002902796297261,,,,,,,,,,,,,,,
2022-10-27,1162.050048828125,533.0,-0.6455224609937948,-38.528847550592445,1200.5788963787174,,0.0002424271376679,,,,,,,,,,,,,,,
2022-10-28,1164.3499755859375,530.0999755859375,-0.5217526680590001,-31.109091363324524,1195.459066949262,,0.0002555450120923,,,,,,,,,,,,,,,
2022-10-31,1169.949951171875,540.4500122070312,-0.7372654106200266,-43.96857355972725,1213.9185247316022,,0.0002419759858192,,,,,,,,,,,,,,,
2022-11-01,1172.0999755859375,544.5499877929688,-0.8241154045081577,-49.12947711900233,1221.2294527049398,,0.0002304673303262,,,,,,,,,,,,,,,
2022-11-02,1167.8499755859375,542.25,-0.8271870109493066,-49.26785371726169,1217.1178293031992,,0.0001821892312615,,,,,,,,,,,,,,,
2022-11-03,1165.199951171875,545.4000244140625,-0.9676617745994116,-57.55611322691698,1222.756064398792,,0.0002223668549712,,,,,,,,,,,,,,,
2022-11-04,1161.1500244140625,539.2999877929688,-0.8530269746821755,-50.67289933512188,1211.8229237491844,,0.0045139455318057,,,,,,,,,,,,,,,
2022-11-07,1160.25,536.0,-0.7684398333986714,-45.61832554064722,1205.8683255406472,,0.0002753521961713,,,,,,,,,,,,,,,
2022-11-09,1155.5,531.75,-0.7184593584326684,-42.64336782782402,1198.143367827824,,0.000280656901232,,,,,,,,,,,,,,,
2022-11-10,1134.8499755859375,528.25,-0.9560861714180366,-56.77043285494392,1191.6204084408814,,0.0002506606217056,,,,,,,,,,,,,,,
2022-11-11,1131.9000244140625,542.6500244140625,-1.434534181146122,-85.29616796908022,1217.1961923831427,,0.0002348166227705,,,,,,,,,,,,,,,
2022-11-14,1133.449951171875,538.8499755859375,-1.2914773561292694,-76.70238026249262,1210.1523314343676,,0.0001581494533684,,,,,,,,,,,,,,,
2022-11-15,1120.199951171875,532.9000244140625,-1.3330278343279762,-78.99098426841942,1199.1909354402944,,0.0002946539304138,,,,,,,,,,,,,,,
2022-11-16,1131.3499755859375,528.0999755859375,-0.9955878787515152,-58.95425343398847,1190.304229019926,,0.0001974753958277,,,,,,,,,,,,,,,
2022-11-17,1127.25,531.2000122070312,-1.1557752882853989,-68.38541986255086,1195.6354198625509,,0.0001392595506678,,,,,,,,,,,,,,,
2022-11-18,1136.699951171875,531.5499877929688,-1.0042843031607518,-59.247314745945005,1195.94726591782,,0.0001017801541806,,,,,,,,,,,,,,,
2022-11-21,1127.75,532.3499755859375,-1.178486779331218,-69.30336980805032,1197.0533698080503,,0.0001442100849734,,,,,,,,,,,,,,,
2022-11-22,1128.6500244140625,539.9500122070312,-1.3945797701371734,-81.92318589291858,1210.573210306981,,0.0002338798103941,,,,,,,,,,,,,,,
2022-11-23,1133.949951171875,547.6500244140625,-1.5354513642521712,-90.27169498689318,1224.2216461587682,,0.0002590861956748,,,,,,,,,,,,,,,
2022-11-24,1169.9000244140625,572.5499877929688,-1.6899709416249755,-99.53809768569954,1269.438122099762,,0.0003404749379855,,,,,,,,,,,,,,,
2022-11-25,1159.3499755859375,586.5999755859375,-2.290203877178606,-135.4893761343326,1294.83935172027,-1.0,0.0006407839570877,,,,,,,,,,,,,,,
2022-11-28,1158.800048828125,586.0,-2.265842961426684,-134.6275956973659,1293.427644525491,,0.0010038413889864,,,,,,,,,,,,,,,
2022-11-29,1175.699951171875,584.8499755859375,-1.9326058888591289,-115.2394834668014,1290.9394346386764,,0.0007115114733643,,,,,,,,,,,,,,,
2022-11-30,1211.1500244140625,590.5999755859375,-1.5071139743424455,-90.0290540059068,1301.1790784199693,,0.0004154579856071,,,,,,,,,,,,,,,
2022-12-01,1224.5999755859375,596.4500122070312,-1.4550924692655458,-86.97516944229756,1311.575145028235,,0.0001834620378296,,,,,,,,,,,,,,,
2022-12-02,1238.6500244140625,589.8499755859375,-1.0140773605822622,-60.35142929420067,1299.0014537082632,,0.0003618856998774,,,,,,,,,,,,,,,
2022-12-05,1223.4000244140625,588.9000244140625,-1.2354524863770844,-73.5170202245854,1296.917044638648,,0.0005041475627284,,,,,,,,,,,,,,,
2022-12-06,1220.1500244140625,586.7999877929688,-1.2191912292592528,-72.59734729565594,1292.7473717097184,,0.0005725613092951,,,,,,,,,,,,,,,
2022-12-07,1245.9000244140625,581.7999877929688,-0.6291856304285183,-37.46405249185955,1283.364076905922,,0.0003862802447924,,,,,,,,,,,,,,,
2022-12-08,1249.1500244140625,577.5,-0.4390038557154694,-26.12212861998023,1275.2721530340427,,0.0003967622006932,,,,,,,,,,,,,,,
2022-12-09,1247.949951171875,579.5999755859375,-0.5216230220064624,-31.03432069057999,1278.984271862455,,0.0004360279842767,,,,,,,,,,,,,,,
2022-12-12,1229.8499755859375,576.5,-0.7266633752111361,-43.24688377796838,1273.096859363906,,0.0004497838160672,,,,,,,,,,,,,,,
2022-12-13,1224.449951171875,582.3499755859375,-0.994160938061306,-59.21716026666127,1283.6671114385365,,0.0003989974070117,,,,,,,,,,,,,,,
2022-12-14,1243.699951171875,580.3499755859375,-0.6060611664525923,-36.060675153546526,1279.7606263254215,,0.0004204505601485,,,,,,,,,,,,,,,
2022-12-15,1234.199951171875,580.2000122070312,-0.7575593264974471,-45.07522603796701,1279.275177209842,,0.0003548007058232,,,,,,,,,,,,,,,
2022-12-16,1236.449951171875,575.2000122070312,-0.5615877140972961,-33.37018581681764,1269.8201369886926,,0.0003677849058139,,,,,,,,,,,,,,,
