Dates,DRREDDY.NS Y,GLENMARK.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of GLENMARK.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
2023-10-09,5494.85009765625,784.4000244140625,-0.0149604644242413,-2.9706579371268163,5497.820755593377,,0.0064944168314075,,,,,,,,,,,,,,,
2023-10-10,5478.5498046875,785.8499755859375,-0.1150606809636684,-22.79681164172962,5501.34661632923,,0.0084122481197897,,,,,,,,,,,,,,,
2023-10-11,5567.60009765625,780.7000122070312,0.4167021339006828,82.47895819930545,5485.121139456945,,0.0075163332442919,,,,,,,,,,,,,,,
2023-10-12,5530.2001953125,792.2000122070312,0.0426572008506734,8.434314169226127,5521.765881143274,,0.0070403574571212,,,,,,,,,,,,,,,
2023-10-13,5460.2001953125,798.3499755859375,-0.404879737097626,-80.00799760180053,5540.2081929143005,,0.0080192537724917,,,,,,,,,,,,,,,
2023-10-16,5493.10009765625,797.7999877929688,-0.2260307407815405,-44.66790909765041,5537.7680067539,,0.0077785472518565,,,,,,,,,,,,,,,
2023-10-17,5544.10009765625,801.6500244140625,-0.029474430465448,-5.823450110367048,5549.923547766617,,0.0082953701979365,,,,,,,,,,,,,,,
2023-10-18,5677.4501953125,799.7999877929688,0.6684194833622883,132.0751546188194,5545.375040693681,,0.0081586057348182,,,,,,,,,,,,,,,
2023-10-19,5630.89990234375,793.1500244140625,0.5352807368256556,105.81940358055726,5525.080498763193,,0.0072275385741852,,,,,,,,,,,,,,,
2023-10-20,5569.2998046875,781.1500244140625,0.4151648705865594,82.11397014070826,5487.185834546792,,0.0077318921014576,,,,,,,,,,,,,,,
2023-10-23,5551.9501953125,759.9000244140625,0.6666742979934858,132.0077493218132,5419.942445990687,,0.0076272938480914,,,,,,,,,,,,,,,
2023-10-25,5513.85009765625,750.7999877929688,0.6174234975739108,122.32517981174897,5391.524917844501,,0.0079274109784864,,,,,,,,,,,,,,,
2023-10-26,5421.9501953125,749.0999755859375,0.1818288098841907,36.00036144501337,5385.949833867487,,0.0068977035439827,,,,,,,,,,,,,,,
2023-10-27,5397.2998046875,743.1500244140625,0.1544419992955156,30.574325710425,5366.725478977075,,0.0067976854588484,,,,,,,,,,,,,,,
2023-10-30,5345.35009765625,750.1500244140625,-0.2188490064937087,-43.29730049417594,5388.647398150426,,0.0057007894457909,,,,,,,,,,,,,,,
2023-10-31,5367.5498046875,747.75,-0.0655826660541598,-12.972174001832173,5380.521978689332,,0.0057817352004567,,,,,,,,,,,,,,,
2023-11-01,5346.4501953125,746.0999755859375,-0.1426551522056113,-28.20875799670921,5374.658953309209,,0.0056785482072987,,,,,,,,,,,,,,,
2023-11-02,5338.5,750.9000244140625,-0.2575338562895397,-50.90048049975849,5389.400480499759,,0.0057555599269089,,,,,,,,,,,,,,,
2023-11-03,5263.0498046875,746.5999755859375,-0.5626562016810323,-111.16181229060568,5374.211616978106,,0.0059419831486051,,,,,,,,,,,,,,,
2023-11-06,5338.10009765625,755.4500122070312,-0.3226740885115671,-63.68561146987304,5401.785709126123,,0.0056709599275176,,,,,,,,,,,,,,,
2023-11-07,5404.35009765625,759.1500244140625,-0.0447573215985949,-8.82504310314198,5413.175140759392,,0.0059712456244851,,,,,,,,,,,,,,,
2023-11-08,5453.5498046875,785.9500122070312,-0.2284806645550429,-44.984116182735306,5498.533920870235,,0.0062626827405457,,,,,,,,,,,,,,,
2023-11-09,5457.9501953125,784.0999755859375,-0.1722616095829139,-33.89006817760128,5491.840263490101,,0.007608324882598,,,,,,,,,,,,,,,
2023-11-10,5424.89990234375,777.8499755859375,-0.2343331957612166,-46.07250746640784,5470.972409810158,,0.0080316094279081,,,,,,,,,,,,,,,
2023-11-13,5419.85009765625,724.4500122070312,0.6099220010840617,120.051022295057,5299.799075361193,,0.0085083122101347,,,,,,,,,,,,,,,
2023-11-15,5419.9501953125,751.0499877929688,0.1748271609013698,34.37730792088951,5385.5728873916105,,0.0074393891519189,,,,,,,,,,,,,,,
2023-11-16,5544.25,770.75,0.4802206174143179,94.40762395529146,5449.8423760447085,,0.0075993082076964,,,,,,,,,,,,,,,
2023-11-17,5611.5498046875,775.9500122070312,0.7300193713445725,143.57318626197048,5467.9766184255295,,0.0077101934396367,,,,,,,,,,,,,,,
2023-11-20,5604.14990234375,785.2000122070312,0.5346720427999848,105.14538682244802,5499.004515521302,,0.0073889516659705,,,,,,,,,,,,,,,
2023-11-21,5646.4501953125,777.5999755859375,0.8670424660910978,170.65738814843644,5475.792807164064,,0.0077623408759613,,,,,,,,,,,,,,,
2023-11-22,5664.5498046875,776.25,0.9726515394704416,191.6119063763217,5472.937898311178,,0.0082146389640726,,,,,,,,,,,,,,,
