Dates,ABBOTINDIA.NS Y,LUPIN.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of LUPIN.NS X,Effective Margin of ABBOTINDIA.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ABBOTINDIA.NS X,Effective Investment of ABBOTINDIA.NS Y,Multiplier X,Multiplier Y
2023-09-26,22710.80078125,1110.550048828125,0.2801310907948519,543.6256288935438,22167.175152356456,,0.4817756258358321,,,,,,,,,,,,,,,
2023-09-27,22743.30078125,1132.3499755859375,0.2152966922886473,417.4907616120945,22325.810019637905,,0.4919287821150246,,,,,,,,,,,,,,,
2023-09-28,22370.650390625,1133.050048828125,0.024023094457023,46.57763819932734,22324.072752425676,,0.4302834111633161,,,,,,,,,,,,,,,
2023-09-29,23179.44921875,1171.25,0.3117395765819011,603.0336525660387,22576.41556618396,,0.4288334566911017,,,,,,,,,,,,,,,
2023-10-03,23121.80078125,1174.199951171875,0.2764897260757004,534.3005650254636,22587.500216224536,,0.5024629674164989,,,,,,,,,,,,,,,
2023-10-04,22815.94921875,1151.5,0.1987323950342984,384.3168976998095,22431.63232105019,,0.5161813537555543,,,,,,,,,,,,,,,
2023-10-05,22861.94921875,1149.199951171875,0.2296883651395685,444.2320346909473,22417.717184059053,,0.5138585089691947,,,,,,,,,,,,,,,
2023-10-06,23036.400390625,1155.050048828125,0.2978748128989535,576.0013004850152,22460.399090139985,,0.5113295761912542,,,,,,,,,,,,,,,
2023-10-09,22962.55078125,1149.449951171875,0.2788400926111329,539.2731297662758,22423.277651483724,,0.5232710647462093,,,,,,,,,,,,,,,
2023-10-10,22748.05078125,1155.449951171875,0.1469559238379782,284.1570368609646,22463.893744389035,,0.5200910826928585,,,,,,,,,,,,,,,
2023-10-11,22430.25,1159.8499755859375,-0.0305375814496243,-59.04073134629289,22489.290731346293,0.0,0.5155982209367107,,,,,,,,,,,,,,,
2023-10-12,22306.80078125,1172.8499755859375,-0.135757623048329,-262.35817017005684,22569.158951420057,,0.5176115085760339,,,,,,,,,,,,,,,
2023-10-13,22389.25,1187.9000244140625,-0.1415678638057854,-273.45318784280244,22662.7031878428,,0.5270050242766067,,,,,,,,,,,,,,,
2023-10-16,22476.900390625,1198.300048828125,-0.1317984138803628,-254.50564263903647,22731.40603326404,,0.5295213807392106,,,,,,,,,,,,,,,
2023-10-17,22422.650390625,1197.6500244140625,-0.1557814875900028,-300.8651511531825,22723.515541778183,,0.5323537933785604,,,,,,,,,,,,,,,
2023-10-18,22427.94921875,1191.050048828125,-0.1275142999605,-246.364291008882,22674.31350975888,,0.529470199596001,,,,,,,,,,,,,,,
2023-10-19,22656.099609375,1200.0,-0.0419309955072662,-80.9879557091408,22737.08756508414,,0.5204157857134473,,,,,,,,,,,,,,,
2023-10-20,22640.25,1179.6500244140625,0.0174242304104782,33.675327486536844,22606.574672513463,,0.525080139512671,,,,,,,,,,,,,,,
2023-10-23,22716.05078125,1168.0,0.0934326751098937,180.6375727213672,22535.413208528636,,0.5351381671376634,,,,,,,,,,,,,,,
2023-10-25,22511.349609375,1143.699951171875,0.070181046556034,135.79350522173627,22375.556104153264,,0.5305990339645056,,,,,,,,,,,,,,,
2023-10-26,22232.400390625,1141.5999755859375,-0.0672173411480463,-130.06441563121916,22362.46480625622,,0.5226047165520283,,,,,,,,,,,,,,,
2023-10-27,22670.69921875,1131.6500244140625,0.189329487019279,366.4208291199029,22304.278389630097,,0.5125316495953326,,,,,,,,,,,,,,,
2023-10-30,22481.75,1140.3499755859375,0.0570507566718082,110.35731543030124,22371.3926845697,,0.5276655172278555,,,,,,,,,,,,,,,
2023-10-31,22413.650390625,1128.1500244140625,0.0620523700324214,120.06740603875004,22293.58298458625,,0.5261182461211525,,,,,,,,,,,,,,,
2023-11-01,22234.94921875,1132.75,-0.0480397253937314,-92.93451443971207,22327.883733189712,,0.5256326837002716,,,,,,,,,,,,,,,
2023-11-02,22382.099609375,1169.199951171875,-0.1011735948092816,-195.5032266665112,22577.60283604151,,0.5182769463013873,,,,,,,,,,,,,,,
