Dates,TORNTPHARM.NS Y,ABBOTINDIA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ABBOTINDIA.NS X,Effective Margin of TORNTPHARM.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of TORNTPHARM.NS X,Effective Investment of TORNTPHARM.NS Y,Multiplier X,Multiplier Y
2023-09-14,1839.699951171875,22910.599609375,0.744489833473755,77.11505369294355,1762.5848974789317,,0.0632861510075761,,,,,,,,,,,,,,,
2023-09-15,1872.0,23351.150390625,0.7702536802945412,79.70528173154003,1792.29471826846,,0.1073528248865006,,,,,,,,,,,,,,,
2023-09-18,1884.449951171875,23308.349609375,0.906668907455766,93.76653197925862,1790.6834191926164,,0.0696914943743371,,,,,,,,,,,,,,,
2023-09-20,1884.1500244140625,23191.5,0.9666547324398918,99.92795037429278,1784.2220740397695,,0.0776716410220189,,,,,,,,,,,,,,,
2023-09-21,1874.4000244140625,22838.349609375,1.0873195283382298,112.4782106719024,1761.92181374216,,0.1433739132129314,,,,,,,,,,,,,,,
2023-09-22,1850.4000244140625,22543.25,1.0351339245958913,107.11649410784936,1743.2835303062132,,0.0868533255725628,,,,,,,,,,,,,,,
2023-09-25,1847.1500244140625,22650.650390625,0.927267619288793,95.9573945217628,1751.1926298922997,,0.059202555236209,,,,,,,,,,,,,,,
2023-09-26,1832.5999755859373,22710.80078125,0.7440485125869695,77.03242926242751,1755.56754632351,,0.0369033126661216,,,,,,,,,,,,,,,
2023-09-27,1847.800048828125,22743.30078125,0.8633486608553358,89.41136912355614,1758.3886797045689,,0.0249858324440407,,,,,,,,,,,,,,,
2023-09-28,1863.5999755859373,22370.650390625,1.244599644150923,128.7963307392763,1734.8036448466612,,0.019124028536095,,,,,,,,,,,,,,,
2023-09-29,1929.0999755859373,23179.44921875,1.336542434002883,137.7914786105107,1791.3084969754268,,0.0178151730298138,,,,,,,,,,,,,,,
2023-10-03,1880.25,23121.80078125,0.8844148589456977,90.80818299441262,1789.4418170055874,,0.0193702732108075,,,,,,,,,,,,,,,
2023-10-04,1864.1500244140625,22815.94921875,0.9185094795812774,94.10779091427004,1770.0422334997925,,0.0240690533525166,,,,,,,,,,,,,,,
2023-10-05,1850.5999755859373,22861.94921875,0.7463336219328459,76.31822795873131,1774.2817476272062,,0.0211660530727675,,,,,,,,,,,,,,,
2023-10-06,1894.050048828125,23036.400390625,1.0428837272324507,106.46000573231731,1787.5900430958077,,0.0285927598747923,,,,,,,,,,,,,,,
2023-10-09,1890.6500244140625,22962.55078125,1.0476568772149495,106.88918811153144,1783.760836302531,,0.0272120699651049,,,,,,,,,,,,,,,
2023-10-10,1868.25,22748.05078125,0.9631508162227976,98.19790410149405,1770.052095898506,,0.0280791480079457,,,,,,,,,,,,,,,
2023-10-11,1885.5,22430.25,1.3365464166764525,136.35207662450284,1749.1479233754972,,0.0338782870372382,,,,,,,,,,,,,,,
2023-10-12,1881.5,22306.80078125,1.3703714454727371,139.8818399455895,1741.6181600544105,,0.0340602535123684,,,,,,,,,,,,,,,
2023-10-13,1895.5999755859373,22389.25,1.4407812469424497,147.14475754609748,1748.45521803984,,0.0431283600161702,,,,,,,,,,,,,,,
2023-10-16,1912.3499755859373,22476.900390625,1.5330337719495348,156.81793829677554,1755.532037289162,,0.0367220143236585,,,,,,,,,,,,,,,
2023-10-17,1921.550048828125,22422.650390625,1.6474084473424693,168.678650303189,1752.871398524936,,0.0380169016846423,,,,,,,,,,,,,,,
2023-10-18,1917.0,22427.94921875,1.5870398159769732,162.57853304372566,1754.4214669562743,,0.043499342100278,,,,,,,,,,,,,,,
2023-10-19,1919.199951171875,22656.099609375,1.440871364446023,147.69197241401366,1771.507978757861,,0.0527208589164245,,,,,,,,,,,,,,,
2023-10-20,1891.5999755859373,22640.25,1.1743782772150866,120.52451099391556,1771.075464592022,,0.0361665129299532,,,,,,,,,,,,,,,
2023-10-23,1877.300048828125,22716.05078125,0.9756571931049284,100.0651872917324,1777.2348615363926,,0.0170667324362912,,,,,,,,,,,,,,,
2023-10-25,1922.25,22511.349609375,1.545741621151066,158.23474804399143,1764.0152519560086,,0.0282032694382897,,,,,,,,,,,,,,,
2023-10-26,1889.6500244140625,22232.400390625,1.4135682523457298,144.50603990476384,1745.143984509299,,0.0340524088479173,,,,,,,,,,,,,,,
2023-10-27,1920.6500244140625,22670.69921875,1.402327852542829,143.22787359559675,1777.4221508184658,,0.0372454260752226,,,,,,,,,,,,,,,
2023-10-30,1930.3499755859373,22481.75,1.618047853488201,165.40328417484852,1764.946691411089,,0.0311469601380653,,,,,,,,,,,,,,,
2023-10-31,1924.25,22413.650390625,1.5962214270666015,163.0358842351668,1761.2141157648332,,0.0258303755782294,,,,,,,,,,,,,,,
2023-11-01,1920.050048828125,22234.94921875,1.6714023772844904,170.51641709009436,1749.5336317380306,,0.0286033887434787,,,,,,,,,,,,,,,
2023-11-02,1927.4000244140625,22382.099609375,1.6304435086244868,166.1141771225516,1761.285847291511,,0.0448826484171791,,,,,,,,,,,,,,,
2023-11-03,1960.4000244140625,22796.150390625,1.649234466642904,168.10145326160114,1792.2985711524614,,0.0370666631933383,,,,,,,,,,,,,,,
2023-11-06,1966.5,23314.0,1.3319158819985393,135.52828661709873,1830.9717133829013,,0.0267210749752388,,,,,,,,,,,,,,,
2023-11-07,1998.4000244140625,23786.44921875,1.29799216134881,131.7890771919565,1866.610947222106,,0.0274897047437588,,,,,,,,,,,,,,,
2023-11-08,2028.0999755859373,24265.69921875,1.2353926361361127,125.16561256332488,1902.9343630226128,,0.0248618018773545,,,,,,,,,,,,,,,
2023-11-09,2051.199951171875,23879.44921875,1.7242517299619688,174.7918067944804,1876.4081443773944,,0.0298292482704883,,,,,,,,,,,,,,,
2023-11-10,2058.199951171875,23705.650390625,1.900833329815776,192.75938573040048,1865.4405654414743,,0.036562349383841,,,,,,,,,,,,,,,
2023-11-13,2066.0,23152.650390625,2.354344369791165,239.49455094231007,1826.50544905769,,0.0678312609392566,,,,,,,,,,,,,,,
2023-11-15,2054.60009765625,22926.25,2.382539882073492,243.28728570129735,1811.3128119549528,,0.0638829102564872,,,,,,,,,,,,,,,
2023-11-16,2039.550048828125,23293.55078125,1.9537558365538703,199.6349197006441,1839.915129127481,,0.0386289256635676,,,,,,,,,,,,,,,
2023-11-17,2082.35009765625,23625.5,2.11313609899908,216.11211127964725,1866.2379863766027,,0.0502991891574113,,,,,,,,,,,,,,,
2023-11-20,2110.75,23975.80078125,2.1139973546013127,216.5048063086456,1894.2451936913544,,0.0650371392299233,,,,,,,,,,,,,,,
2023-11-21,2119.64990234375,23950.599609375,2.194030188119427,225.4772789937988,1894.1726233499512,,0.0960735364470822,,,,,,,,,,,,,,,
2023-11-22,2111.550048828125,23904.25,2.1231547390980463,219.1657946200021,1892.384254208123,,0.093192286441546,,,,,,,,,,,,,,,
2023-11-23,2106.550048828125,23886.5,2.0631318712532223,213.8601912779468,1892.6898575501784,,0.0951739618519258,,,,,,,,,,,,,,,
2023-11-24,2090.800048828125,24045.849609375,1.7756281043036066,184.60819911792143,1906.1918497102035,,0.0778327214759668,,,,,,,,,,,,,,,
2023-11-28,2079.0,23697.75,1.895337668652697,197.87881804650715,1881.1211819534929,,0.085141941973881,,,,,,,,,,,,,,,
2023-11-29,2091.85009765625,23537.80078125,2.1116362399241813,221.49749036491423,1870.352607291336,,0.1012304689581317,,,,,,,,,,,,,,,
2023-11-30,2126.550048828125,23805.150390625,2.221769821281657,234.11840159825735,1892.431647229868,,0.1137525554790002,,,,,,,,,,,,,,,
2023-12-01,2151.25,23679.5,2.5142875897978074,266.6860541573385,1884.5639458426613,,0.1480893153005417,,,,,,,,,,,,,,,
2023-12-04,2133.60009765625,23398.75,2.519842801533596,269.08992756869293,1864.510170087557,,0.1600276554637311,,,,,,,,,,,,,,,
2023-12-05,2100.0,23110.44921875,2.3872480425492952,256.4850342973707,1843.5149657026293,,0.1445222152950555,,,,,,,,,,,,,,,
2023-12-06,2079.949951171875,23078.05078125,2.2025852339454897,237.77966743693835,1842.170283734937,,0.1283660873826271,,,,,,,,,,,,,,,
2023-12-07,2100.550048828125,23073.400390625,2.371671183597217,257.4725801702325,1843.0774686578925,,0.1500415241457546,,,,,,,,,,,,,,,
2023-12-08,2053.449951171875,22858.0,2.0744889330681944,226.2131135674383,1827.2368376044367,,0.1165756264420382,,,,,,,,,,,,,,,
2023-12-11,2078.35009765625,23046.55078125,2.1475589627449048,235.1609026016422,1843.189195054608,,0.117930867953125,,,,,,,,,,,,,,,
2023-12-12,2048.0,22825.0,2.0135322933425743,221.28773213631007,1826.71226786369,,0.1147951667306024,,,,,,,,,,,,,,,
2023-12-13,2079.10009765625,22780.849609375,2.3067016012925494,254.79624618814955,1824.3038514681004,,0.1476588530062179,,,,,,,,,,,,,,,
2023-12-14,2103.39990234375,22742.0,2.528176421796832,281.0024143652972,1822.3974879784528,,0.1739505481320645,,,,,,,,,,,,,,,
2023-12-15,2093.35009765625,22694.80078125,2.4477747894600643,273.57935532720467,1819.770742329045,,0.1632648922591308,,,,,,,,,,,,,,,
2023-12-18,2144.199951171875,22780.30078125,2.808799843042781,316.2179762275198,1827.9819749443552,,0.2240778114564074,,,,,,,,,,,,,,,
2023-12-19,2170.550048828125,22902.25,2.919379232329661,331.24996901179543,1839.3000798163296,,0.2666986700342985,,,,,,,,,,,,,,,
2023-12-20,2147.050048828125,22135.150390625,3.2133041814929744,368.5359407669269,1778.5141080611982,,0.3527705596050912,,,,,,,,,,,,,,,
2023-12-21,2195.199951171875,22354.75,3.426832248187129,397.5455169180361,1797.6544342538389,,0.4534789485551814,,,,,,,,,,,,,,,
2023-12-22,2222.5,22604.0,3.4331444035453766,402.9961480852903,1819.5038519147097,,0.4681582650794276,,,,,,,,,,,,,,,
2023-12-26,2282.300048828125,22452.55078125,3.969406402343695,473.4972211411673,1808.8028276869577,,0.6720213406229628,,,,,,,,,,,,,,,
2023-12-27,2263.75,22570.099609375,3.668541915553922,443.624558012144,1820.125441987856,,0.5928226996684918,,,,,,,,,,,,,,,
2023-12-28,2255.60009765625,22623.69921875,3.50692616218788,429.41582169956905,1826.184275956681,,0.5596796290953713,,,,,,,,,,,,,,,
2023-12-29,2305.550048828125,22851.25,3.6937682710547457,458.56635132578936,1846.983697502336,,0.6316964333300034,,,,,,,,,,,,,,,
2024-01-01,2296.300048828125,22761.099609375,3.617286081688985,455.0463703746064,1841.253678453519,,0.6251405656444289,,,,,,,,,,,,,,,
2024-01-02,2322.199951171875,23327.25,3.3915046652942458,431.32522584919707,1890.874725322678,,0.5639125524646391,,,,,,,,,,,,,,,
2024-01-03,2351.39990234375,23606.599609375,3.378804143506368,434.4814786146594,1916.9184237290904,,0.5719766576345188,,,,,,,,,,,,,,,
2024-01-04,2371.699951171875,23569.80078125,3.4979713946617847,455.3293135773631,1916.370637594512,,0.6300478922623576,,,,,,,,,,,,,,,
