Dates,CUB.NS Y,HDFCBANK.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCBANK.NS X,Effective Margin of CUB.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of CUB.NS X,Effective Investment of CUB.NS Y,Multiplier X,Multiplier Y
2022-06-17,128.5500030517578,1289.75,-0.9736504720262544,-15.954786315536296,144.5047893672941,,,,,,,,,,,,,,,,
2022-06-20,124.0999984741211,1322.1500244140625,-1.3590098055305375,-22.309386322031884,146.40938479615298,,,,,,,,,,,,,,,,
2022-06-21,124.6500015258789,1336.550048828125,-1.373130614906639,-22.58276958644285,147.23277111232176,,,,,,,,,,,,,,,,
2022-06-22,121.5,1330.25,-1.5363548051548983,-25.322976898549683,146.82297689854968,,,,,,,,,,,,,,,,
2022-06-23,123.8499984741211,1335.1500244140625,-1.4080999387271371,-23.246754538325888,147.09675301244698,,,,,,,,,,,,,,,,
2022-06-24,127.3499984741211,1353.800048828125,-1.2603069646160576,-20.834510832239573,148.18450930636067,,,,,,,,,,,,,,,,
2022-06-27,137.25,1356.25,-0.6706072061404248,-11.087118366035298,148.3371183660353,,,,,,,,,,,,,,,,
2022-06-28,137.0,1345.9000244140625,-0.6493199041149421,-10.73631165124158,147.73631165124158,,,,,,,,,,,,,,,,
2022-06-29,136.9499969482422,1343.949951171875,-0.6457178421601347,-10.678398225549415,147.6283951737916,,,,,,,,,,,,,,,,
2022-06-30,133.0500030517578,1348.0,-0.8946765261303345,-14.80501832646712,147.85502137822493,,,,,,,,,,,,,,,,
2022-07-01,135.4499969482422,1353.75,-0.7682684985064696,-12.720728105756734,148.17072505399892,,,,,,,,,,,,,,,,
2022-07-04,138.35000610351562,1355.6500244140625,-0.598058416660029,-9.906069704235108,148.25607580775073,,,,,,,,,,,,,,,,
2022-07-05,140.39999389648438,1352.5999755859375,-0.4616807543563197,-7.648299213693207,148.04829311017758,,,,,,,,,,,,,,,,
2022-07-06,141.3000030517578,1371.25,-0.472152562100796,-7.824082788525033,149.12408584028285,,,,,,,,,,,,,,,,
2022-07-07,144.9499969482422,1395.800048828125,-0.3382988511618096,-5.606566951468324,150.5565638997105,,,,,,,,,,,,,,,,
2022-07-08,144.85000610351562,1397.0999755859375,-0.3491495181670082,-5.786288992209478,150.6362950957251,,,,,,,,,,,,,,,,
2022-07-11,149.10000610351562,1406.1500244140625,-0.1255137244333501,-2.079453659271508,151.17945976278713,,,,,,,,,,,,,,,,
