Dates,ICICIGI.NS Y,BAJFINANCE.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of BAJFINANCE.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-06-30,1120.949951171875,5400.5,-2.39608143797296,-262.87554167267444,1383.8254928445494,,,,,,,,,,,,,,,,
2022-07-01,1145.75,5614.39990234375,-2.2272293762841158,-245.57374532532185,1391.323745325322,,,,,,,,,,,,,,,,
2022-07-04,1161.800048828125,5630.2998046875,-2.07399599563014,-229.6769317931662,1391.4769806212912,,,,,,,,,,,,,,,,
2022-07-05,1187.050048828125,5661.10009765625,-1.846993169909044,-205.2274291889096,1392.2774780170346,,,,,,,,,,,,,,,,
2022-07-06,1232.25,5916.7001953125,-1.519291334464697,-169.17960807656914,1401.4296080765691,,,,,,,,,,,,,,,,
2022-07-07,1278.4000244140625,5860.7001953125,-1.0833921511169426,-120.77667198324524,1399.1766963973078,,,,,,,,,,,,,,,,
2022-07-08,1276.199951171875,5873.2001953125,-1.104394048319716,-123.25322171023528,1399.4531728821105,,,,,,,,,,,,,,,,
2022-07-11,1266.050048828125,5861.5,-1.188343546774296,-132.78808721579549,1398.8381360439205,,,,,,,,,,,,,,,,
2022-07-12,1230.6500244140625,5873.5498046875,-1.503698138187196,-168.37433261357114,1399.0243570276336,,,,,,,,,,,,,,,,
2022-07-13,1231.949951171875,5878.89990234375,-1.48775176053666,-166.95902558808234,1398.908976759957,,,,,,,,,,,,,,,,
2022-07-14,1250.699951171875,5830.85009765625,-1.3001588442239818,-146.1565553690068,1396.8565065408818,,,,,,,,,,,,,,,,
2022-07-15,1254.3499755859375,5915.2001953125,-1.2896833317561789,-145.2124516955446,1399.562427281482,,,,,,,,,,,,,,,,
2022-07-18,1271.75,6059.7998046875,-1.1776690305090087,-132.78168179800605,1404.531681798006,,,,,,,,,,,,,,,,
2022-07-19,1270.5,6065.9501953125,-1.1868171251196231,-133.9992470481768,1404.4992470481768,,,,,,,,,,,,,,,,
2022-07-20,1216.8499755859375,6074.39990234375,-1.656632872684125,-187.5655252575916,1404.4155008435291,,,,,,,,,,,,,,,,
2022-07-21,1225.300048828125,6266.89990234375,-1.6351207079936865,-185.6178085391682,1410.9178573672932,,,,,,,,,,,,,,,,
2022-07-22,1215.050048828125,6258.25,-1.7136153820828697,-195.1058281768385,1410.1558770049637,,,,,,,,,,,,,,,,
2022-07-25,1189.199951171875,6227.0,-1.9193307817294,-219.35097522631625,1408.5509263981912,,,,,,,,,,,,,,,,
2022-07-26,1157.0,6264.4501953125,-2.1970063783498874,-252.30863181598212,1409.3086318159822,,,,,,,,,,,,,,,,
2022-07-27,1188.3499755859375,6396.35009765625,-1.952866980218093,-225.1251291051317,1413.4751046910692,,,,,,,,,,,,,,,,
2022-07-28,1189.199951171875,7076.60009765625,-2.138936261528453,-247.5417136041108,1436.7416647759858,,,,,,,,,,,,,,,,
2022-07-29,1219.9000244140625,7209.10009765625,-1.900604438897972,-220.68576415979285,1440.585788573855,,,,,,,,,,,,,,,,
2022-08-01,1230.800048828125,7261.0,-1.8098439083686249,-210.7937839664346,1441.5938327945596,,,,,,,,,,,,,,,,
2022-08-02,1241.9000244140625,7341.89990234375,-1.727800848936103,-201.74692214356853,1443.646946557631,,,,,,,,,,,,,,,,
2022-08-03,1229.550048828125,7296.35009765625,-1.806936627467568,-211.67105817952077,1441.2211070076455,,,,,,,,,,,,,,,,
2022-08-04,1202.199951171875,7316.64990234375,-2.030914115369407,-238.8043249299726,1441.0042761018476,,,,,,,,,,,,,,,,
2022-08-05,1199.8499755859375,7304.7001953125,-2.030715997885804,-239.7622943540132,1439.6122699399507,,,,,,,,,,,,,,,,
2022-08-08,1214.0999755859375,7342.2001953125,-1.907183781163153,-225.9163746901177,1440.0163502760552,,,,,,,,,,,,,,,,
2022-08-10,1230.6500244140625,7149.39990234375,-1.701450851576959,-202.1571195941192,1432.8071440081817,,,,,,,,,,,,,,,,
2022-08-11,1240.949951171875,7318.9501953125,-1.651383541989892,-196.6992400236036,1437.6491911954786,,,,,,,,,,,,,,,,
2022-08-12,1237.8499755859375,7309.39990234375,-1.6624692473627216,-198.5787208230224,1436.42869640896,,,,,,,,,,,,,,,,
2022-08-16,1296.0,7286.10009765625,-1.1631115785921504,-139.1208046856882,1435.1208046856882,,,,,,,,,,,,,,,,
2022-08-17,1355.5,7527.10009765625,-0.7279849208498548,-87.0840453678029,1442.584045367803,,,,,,,,,,,,,,,,
2022-08-18,1326.75,7488.25,-0.9517715187151768,-113.96759991397198,1440.717599913972,,,,,,,,,,,,,,,,
2022-08-19,1289.300048828125,7301.7001953125,-1.2063415120257046,-144.71075148245063,1434.0108003105756,,,,,,,,,,,,,,,,
2022-08-22,1260.6500244140625,7102.2001953125,-1.383226015334105,-166.28903144309584,1426.9390558571583,,,,,,,,,,,,,,,,
2022-08-23,1249.449951171875,7207.7001953125,-1.494696054943019,-180.03601435942232,1429.485965531297,,,,,,,,,,,,,,,,
2022-08-24,1243.75,7176.89990234375,-1.5240306785418192,-183.97522223317677,1427.7252222331767,,,,,,,,,,,,,,,,
