Dates,SIEMENS.NS Y,ABB.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ABB.NS X,Effective Margin of SIEMENS.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of SIEMENS.NS X,Effective Investment of SIEMENS.NS Y,Multiplier X,Multiplier Y
2023-10-18,3492.35009765625,4098.2998046875,-1.042842141284119,-137.21519903735862,3629.5652966936086,,0.0045553347886084,,,,,,,,,,,,,,,
2023-10-19,3463.75,4094.14990234375,-1.2302870610977368,-162.1316599983479,3625.881659998348,,0.0051334822295687,,,,,,,,,,,,,,,
2023-10-20,3441.800048828125,4015.300048828125,-0.9961693268611996,-131.44627606684526,3573.2463248949703,,0.0045834908222841,,,,,,,,,,,,,,,
2023-10-23,3414.75,3942.699951171875,-0.8343025606764541,-110.18695713737088,3524.936957137371,,0.0043670470213705,,,,,,,,,,,,,,,
2023-10-25,3432.85009765625,3930.5,-0.6332711670004485,-83.67435755491624,3516.5244552111662,,0.0039678332005062,,,,,,,,,,,,,,,
2023-10-26,3406.75,3958.25,-0.963360837709728,-127.36196186762936,3534.1119618676294,,0.0037961344068535,,,,,,,,,,,,,,,
2023-10-27,3427.0,4008.5,-1.054144394063694,-139.3469239262372,3566.346923926237,,0.0050924780993069,,,,,,,,,,,,,,,
2023-10-30,3430.60009765625,4070.199951171875,-1.324009499358776,-175.25930237648208,3605.859400032732,,0.006215545160111,,,,,,,,,,,,,,,
2023-10-31,3330.949951171875,4109.2998046875,-2.246400698744444,-298.8334511107032,3629.783402282578,-1.0,0.012614693262271,,,,,,,,,,,,,,,
2023-11-01,3325.64990234375,4055.0,-2.000007975679944,-267.1912904421947,3592.8411927859447,,0.0107430323922017,,,,,,,,,,,,,,,
2023-11-02,3370.89990234375,4076.949951171875,-1.7538854714638092,-235.0310425753305,3605.930944919081,,0.0090352507468006,,,,,,,,,,,,,,,
2023-11-03,3367.550048828125,4167.5,-2.1983682484259925,-295.88729510887515,3663.437343937,,0.0142179402204426,,,,,,,,,,,,,,,
2023-11-06,3367.199951171875,4203.7001953125,-2.349439422066859,-317.94705507622075,3685.147006248096,,0.0176931831405073,,,,,,,,,,,,,,,
2023-11-07,3347.60009765625,4208.7998046875,-2.4879810870180443,-338.81800096574307,3686.418098621993,,0.0217893407254577,,,,,,,,,,,,,,,
2023-11-08,3423.89990234375,4275.5498046875,-2.2215002668647204,-303.96600309838186,3727.865905442132,,0.0183288922531366,,,,,,,,,,,,,,,
2023-11-09,3389.35009765625,4310.5,-2.6040083425948413,-358.74421760176574,3748.094315258016,,0.0283193907692108,,,,,,,,,,,,,,,
2023-11-10,3407.35009765625,4239.2998046875,-2.114902682630445,-292.7806306708876,3700.1307283271376,,0.0184416986919667,,,,,,,,,,,,,,,
2023-11-13,3418.0,4262.75,-2.124083082270172,-295.38632535672195,3713.386325356722,,0.0196415670298583,,,,,,,,,,,,,,,
2023-11-15,3495.5,4258.7998046875,-1.5347825999146476,-213.94920736539643,3709.449207365397,,0.0122740247498635,,,,,,,,,,,,,,,
