Dates,HINDCOPPER.NS Y,COALINDIA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of COALINDIA.NS X,Effective Margin of HINDCOPPER.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HINDCOPPER.NS X,Effective Investment of HINDCOPPER.NS Y,Multiplier X,Multiplier Y
2023-08-04,154.0,233.75,3.6513014784576017,43.831133507678885,110.16886649232111,,0.1159315052728506,,,,,,,,,,,,,,,
2023-08-07,148.6999969482422,232.9499969482422,3.158499740317771,38.25815319369411,110.44184375454807,,0.0610000469644982,,,,,,,,,,,,,,,
2023-08-08,146.75,230.25,2.9381697084245264,35.87293168285696,110.87706831714304,,0.0646173441456585,,,,,,,,,,,,,,,
2023-08-09,151.89999389648438,234.75,3.3462077332683378,41.246176308585945,110.65381758789844,,0.1273151792285328,,,,,,,,,,,,,,,
2023-08-10,148.25,234.8999938964844,3.0096507279268816,37.41568854945065,110.83431145054936,,0.1121086440134359,,,,,,,,,,,,,,,
2023-08-11,158.9499969482422,234.8999938964844,3.796156737032108,47.87917534696575,111.07082160127644,,0.399273490490646,,,,,,,,,,,,,,,
2023-08-14,152.39999389648438,233.8999938964844,3.2210748776494773,41.06615666358596,111.33383723289842,,0.25155088646498,,,,,,,,,,,,,,,
2023-08-16,142.89999389648438,233.0500030517578,2.4479195303300414,31.38805694865732,111.51193694782704,,0.1330472497529735,,,,,,,,,,,,,,,
2023-08-17,142.5500030517578,232.3000030517578,2.3931019044360573,30.86307712533103,111.68692592642678,,0.1364982561899282,,,,,,,,,,,,,,,
2023-08-18,140.75,227.4499969482422,2.204529944739753,28.58102966906459,112.1689703309354,,0.1204931623750071,,,,,,,,,,,,,,,
2023-08-21,136.6999969482422,230.1000061035156,1.8950390417597505,24.65314662869247,112.04685031954972,,0.0596271419165082,,,,,,,,,,,,,,,
2023-08-22,144.85000610351562,230.75,2.500396131923924,32.734446956754,112.11555914676164,,0.1618173333025392,,,,,,,,,,,,,,,
2023-08-23,148.3000030517578,230.8999938964844,2.7329865394012134,36.05492154822258,112.24508150353525,,0.20734263804709,,,,,,,,,,,,,,,
2023-08-24,146.1999969482422,229.25,2.538169816557428,33.710727218324706,112.48926972991748,,0.184731671404347,,,,,,,,,,,,,,,
2023-08-25,144.85000610351562,227.6999969482422,2.405462568414265,32.14128700137553,112.7087191021401,,0.1261756001266188,,,,,,,,,,,,,,,
2023-08-28,147.89999389648438,229.4499969482422,2.6149780120687365,35.18363755664248,112.7163563398419,,0.1594599488453266,,,,,,,,,,,,,,,
2023-08-29,151.75,229.9499969482422,2.868548550810491,38.9224370321423,112.8275629678577,,0.2136333888538441,,,,,,,,,,,,,,,
2023-08-30,154.64999389648438,228.75,3.0364207949287336,41.59646628070804,113.05352761577632,,0.3355130980691025,,,,,,,,,,,,,,,
2023-08-31,158.4499969482422,230.0500030517578,3.2715315773958915,45.31149672426449,113.1385002239777,,0.4235357796647926,,,,,,,,,,,,,,,
2023-09-01,167.10000610351562,236.8999938964844,3.849835882079234,54.12045350007665,112.97955260343898,,0.5135985244585224,,,,,,,,,,,,,,,
