Dates,DLF.NS Y,GODREJPROP.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of GODREJPROP.NS X,Effective Margin of DLF.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DLF.NS X,Effective Investment of DLF.NS Y,Multiplier X,Multiplier Y
2023-10-26,522.2999877929688,1576.8499755859375,1.900143745496136,108.76265694048108,413.5373308524877,,0.8457501339847394,,,,,,,,,,,,,,,
2023-10-27,536.1500244140625,1602.199951171875,2.08563985475164,119.80129458614611,416.3487298279164,,0.869034063403409,,,,,,,,,,,,,,,
2023-10-30,554.4500122070312,1639.3499755859375,2.322511301078247,133.96678136880462,420.4832308382266,,0.908327049632626,,,,,,,,,,,,,,,
2023-10-31,563.5,1659.6500244140625,2.419825968301593,140.22487731418323,423.2751226858168,,0.9345165371281264,,,,,,,,,,,,,,,
2023-11-01,574.8499755859375,1664.25,2.577026952436262,150.20411513304254,424.64586045289496,,0.950661877566968,,,,,,,,,,,,,,,
2023-11-02,577.9000244140625,1716.0,2.510480206272322,147.05057904639773,430.8494453676648,,0.9454451598323464,,,,,,,,,,,,,,,
2023-11-03,595.8499755859375,1784.4000244140625,2.6592258170926457,156.61428217757168,439.2356934083658,,0.9528185505185746,,,,,,,,,,,,,,,
2023-11-06,592.0,1823.5,2.4839235844449896,146.8964901205814,445.1035098794186,,0.9444508662334322,,,,,,,,,,,,,,,
2023-11-07,592.4500122070312,1764.5999755859375,2.557911926476827,152.17951237316123,440.27049983387,,0.944383321897827,,,,,,,,,,,,,,,
2023-11-08,595.9000244140625,1773.0999755859375,2.5589046341446195,152.95918975249197,442.9408346615705,,0.9448443120531598,,,,,,,,,,,,,,,
2023-11-09,600.7000122070312,1815.25,2.5146740412906,150.91719526481563,449.7828169422156,,0.9443523361912928,,,,,,,,,,,,,,,
2023-11-10,606.0499877929688,1817.6500244140625,2.554191377105949,154.02244771420942,452.0275400787593,,0.9512758755080156,,,,,,,,,,,,,,,
2023-11-13,608.4000244140625,1821.449951171875,2.5408824611527834,153.94250634340926,454.4575180706533,,0.9523099187241012,,,,,,,,,,,,,,,
2023-11-15,622.0999755859375,1863.75,2.6286731764634963,159.921422470822,462.1785531151155,,0.9539865461851672,,,,,,,,,,,,,,,
2023-11-16,630.25,1853.300048828125,2.729806565514852,166.94303972292664,463.30696027707336,,0.957549769913464,,,,,,,,,,,,,,,
2023-11-17,631.1500244140625,1862.9000244140625,2.6679626955872098,163.82968687687787,467.3203375371846,,0.9309813465908068,,,,,,,,,,,,,,,
2023-11-20,626.25,1850.300048828125,2.562851034633572,157.89982257503533,468.3501774249647,,0.908574007587929,,,,,,,,,,,,,,,
2023-11-21,634.4500122070312,1890.8499755859373,2.545237612306506,157.0579368630036,477.39207534402766,,0.9208455078620688,,,,,,,,,,,,,,,
2023-11-22,632.5499877929688,1861.9000244140625,2.534123478215186,156.7694801226429,475.78050767032585,,0.9417534218901416,,,,,,,,,,,,,,,
2023-11-23,636.1500244140625,1852.3499755859373,2.56771503325082,159.3051587527636,476.8448656612989,,0.9528296102657928,,,,,,,,,,,,,,,
2023-11-24,629.3499755859375,1841.050048828125,2.443724348975234,152.0549116897347,477.2950638962028,,0.946355110979064,,,,,,,,,,,,,,,
2023-11-28,629.1500244140625,1839.5,2.4002938584673648,149.64039706880396,479.50962734525854,,0.9341626720387864,,,,,,,,,,,,,,,
