Dates,IDFCFIRSTB.NS Y,IDFC.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of IDFC.NS X,Effective Margin of IDFCFIRSTB.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IDFCFIRSTB.NS X,Effective Investment of IDFCFIRSTB.NS Y,Multiplier X,Multiplier Y
2023-10-09,90.05000305175781,122.75,0.1949987780142865,0.7571395802438445,89.29286347151397,,0.0222496142038309,,,,,,,,,,,,,,,
2023-10-10,90.25,123.8000030517578,0.0470150735113752,0.1813951994594447,90.06860480054056,,0.0230603443919526,,,,,,,,,,,,,,,
2023-10-11,91.5500030517578,125.9499969482422,-0.0212408387215951,-0.0814424070670725,91.63144545882489,0.0,0.0220070476943602,,,,,,,,,,,,,,,
2023-10-12,90.8000030517578,124.8499984741211,-0.016124235100222,-0.0614762204438932,90.8614792722017,,0.0134560659953502,,,,,,,,,,,,,,,
2023-10-13,90.25,125.3499984741211,-0.2593046797709105,-0.9812560698170358,91.23125606981704,,0.0142748970493793,,,,,,,,,,,,,,,
2023-10-16,90.9499969482422,125.5,-0.1093278447992275,-0.4107605235220006,91.3607574717642,,0.0122416594397404,,,,,,,,,,,,,,,
2023-10-17,91.5999984741211,126.6500015258789,-0.1634275290403873,-0.6093493876084608,92.20934786172955,,0.0079331449614532,,,,,,,,,,,,,,,
2023-10-18,90.9499969482422,126.1999969482422,-0.2576439064071233,-0.9524024767467978,91.902399424989,,0.0111498212110469,,,,,,,,,,,,,,,
2023-10-19,90.8000030517578,125.9499969482422,-0.2544822554164955,-0.9338174193054982,91.73382047106332,,0.0074363132081814,,,,,,,,,,,,,,,
2023-10-20,88.9000015258789,124.4000015258789,-0.4730767999341852,-1.7218009153911993,90.6218024412701,,0.0053853448965241,,,,,,,,,,,,,,,
2023-10-23,86.44999694824219,119.5,-0.1765956450942881,-0.6370611075342651,87.08705805577645,,0.0112414212319266,,,,,,,,,,,,,,,
2023-10-25,87.1500015258789,120.0999984741211,-0.1052818694345009,-0.3771759030660604,87.52717742894497,,0.0139622798791377,,,,,,,,,,,,,,,
2023-10-26,84.94999694824219,118.1500015258789,-0.3272131889424711,-1.1658431339047013,86.11584008214689,,0.0111960022553829,,,,,,,,,,,,,,,
2023-10-27,86.05000305175781,120.8000030517578,-0.5605370033037902,-1.9838485197850275,88.03385157154284,,0.0116604860739412,,,,,,,,,,,,,,,
2023-10-30,83.19999694824219,115.0,-0.1787996704573919,-0.6292746503257263,83.82927159856791,,0.0070375060786326,,,,,,,,,,,,,,,
2023-10-31,82.69999694824219,114.5,-0.2196283753530016,-0.767081548756309,83.4670784969985,,0.0058292648413096,,,,,,,,,,,,,,,
2023-11-01,81.0999984741211,112.9000015258789,-0.3477099269791568,-1.2048759326284824,82.30487440674958,,0.007815007263533,,,,,,,,,,,,,,,
2023-11-02,82.30000305175781,113.1999969482422,-0.0662548641573799,-0.2279637159340524,82.52796676769186,,0.005718704420013,,,,,,,,,,,,,,,
2023-11-03,82.80000305175781,113.9499969482422,-0.081611423537955,-0.2785960825431743,83.07859913430099,,0.0058699502501045,,,,,,,,,,,,,,,
2023-11-06,82.75,115.4000015258789,-0.4075841639949997,-1.3809816463015352,84.13098164630154,,0.0066111665468147,,,,,,,,,,,,,,,
2023-11-07,83.1500015258789,115.5999984741211,-0.3340502083961653,-1.1240947384648905,84.2740962643438,,0.0050965600716111,,,,,,,,,,,,,,,
2023-11-08,83.69999694824219,115.6999969482422,-0.1946459434537887,-0.6500443425221221,84.35004129076431,,0.017455981405361,,,,,,,,,,,,,,,
2023-11-09,84.6500015258789,116.1500015258789,-0.0087140385260546,-0.0290097869751662,84.67901131285407,,0.0114129485293034,,,,,,,,,,,,,,,
2023-11-10,85.3499984741211,117.0500030517578,0.0030420591804492,0.0100790048390422,85.33991946928205,,0.0160850814277152,,,,,,,,,,,,,,,
2023-11-13,86.3499984741211,118.9000015258789,-0.1038589584296711,-0.3429183821914989,86.69291685631259,,0.0223853706204196,,,,,,,,,,,,,,,
2023-11-15,86.8499984741211,120.4499969482422,-0.2946823911823594,-0.97104694347874,87.82104541759983,,0.0184807955527812,,,,,,,,,,,,,,,
2023-11-16,88.4000015258789,122.0500030517578,-0.1800473232461704,-0.5916042778551969,88.9916058037341,,0.0134145889513781,,,,,,,,,,,,,,,
2023-11-17,85.0999984741211,118.0,-0.2833348480639343,-0.9280402299963412,86.02803870411744,,0.006357593021017,,,,,,,,,,,,,,,
2023-11-20,84.4000015258789,117.5,-0.3879864302936213,-1.2626024415866937,85.6626039674656,,0.0093663390645428,,,,,,,,,,,,,,,
2023-11-21,84.5999984741211,118.1999969482422,-0.4853623615053634,-1.571581704294772,86.17158017841587,,0.0120386436208045,,,,,,,,,,,,,,,
2023-11-22,83.19999694824219,116.1500015258789,-0.4537233821028502,-1.4637594040916042,84.66375635233379,,0.0094990712796112,,,,,,,,,,,,,,,
2023-11-23,84.1500015258789,116.9499969482422,-0.3432360537046422,-1.1019291803043387,85.25193070618324,,0.0075957649515936,,,,,,,,,,,,,,,
2023-11-24,84.30000305175781,116.3499984741211,-0.1625292281135848,-0.518986105867441,84.81898915762525,,0.0046596043467074,,,,,,,,,,,,,,,
2023-11-28,85.25,117.5500030517578,-0.1458868333714614,-0.4625309263342672,85.71253092633427,,0.0035685789582277,,,,,,,,,,,,,,,
2023-11-29,84.9000015258789,117.8499984741211,-0.3305322036312682,-1.0399739445090148,85.93997547038792,,0.0020401216034762,,,,,,,,,,,,,,,
2023-11-30,85.19999694824219,118.4499969482422,-0.3816537646790814,-1.1895558729218862,86.38955282116407,,0.0012273565929682,,,,,,,,,,,,,,,
2023-12-01,86.0999984741211,119.0,-0.2296640372528716,-0.7080198823731649,86.80801835649426,,0.000776205724649,,,,,,,,,,,,,,,
2023-12-04,86.94999694824219,121.0999984741211,-0.466067048118493,-1.4195818565672056,88.3695788048094,,0.0005174909199721,,,,,,,,,,,,,,,
2023-12-05,89.25,123.5999984741211,-0.3269620298860006,-0.9827052021906012,90.2327052021906,,0.0003804175366774,,,,,,,,,,,,,,,
2023-12-06,90.4000015258789,124.4499969482422,-0.1622083420122926,-0.4809329916792109,90.88093451755812,,0.0001076585432469,,,,,,,,,,,,,,,
2023-12-07,87.69999694824219,122.25,-0.5359702995849376,-1.5632508372850964,89.26324778552728,,1.7991482715208406e-05,,,,,,,,,,,,,,,
2023-12-08,88.05000305175781,122.3000030517578,-0.4430385905128106,-1.264165808591315,89.31416886034913,,2.718497367228494e-05,,,,,,,,,,,,,,,
2023-12-11,87.3499984741211,121.1999969482422,-0.4145405175037567,-1.159562576942761,88.50956105106386,,2.3446637912494528e-05,,,,,,,,,,,,,,,
2023-12-12,86.8499984741211,120.75,-0.4867255445671185,-1.334944089833769,88.18494256395486,,2.179208713111615e-05,,,,,,,,,,,,,,,
2023-12-13,87.5,122.3000030517578,-0.6863424419397802,-1.8464326620719616,89.34643266207196,,4.611012462984449e-06,,,,,,,,,,,,,,,
2023-12-14,88.1500015258789,123.1999969482422,-0.7154986422772932,-1.8801619550596769,90.03016348093858,,2.9951675007528543e-06,,,,,,,,,,,,,,,
2023-12-15,90.0,126.9499969482422,-1.1068140486533595,-2.840341386767406,92.8403413867674,,2.914691462910411e-06,,,,,,,,,,,,,,,
2023-12-18,89.75,125.5999984741211,-0.8381224754950358,-2.1011727071930157,91.85117270719302,,5.387028503252529e-06,,,,,,,,,,,,,,,
2023-12-19,90.1500015258789,126.6500015258789,-1.0164883607909934,-2.498132133956389,92.6481336598353,,6.604292086912056e-06,,,,,,,,,,,,,,,
2023-12-20,87.3499984741211,122.0,-0.7538789008910892,-1.8192190761953528,89.16921755031645,,3.822302239124228e-06,,,,,,,,,,,,,,,
2023-12-21,88.3499984741211,123.6500015258789,-0.8715250478609095,-2.0630098142857065,90.4130082884068,,3.1709735550197745e-06,,,,,,,,,,,,,,,
2023-12-22,88.44999694824219,124.1999969482422,-1.0243370067569924,-2.380121249285665,90.83011819752784,,1.9055550158602365e-06,,,,,,,,,,,,,,,
