Dates,ULTRACEMCO.NS Y,DALBHARAT.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of DALBHARAT.NS X,Effective Margin of ULTRACEMCO.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ULTRACEMCO.NS X,Effective Investment of ULTRACEMCO.NS Y,Multiplier X,Multiplier Y
2022-07-21,6130.7001953125,1539.75,-0.5647809455650905,-172.17324840788478,6302.873443720385,,,,,,,,,,,,,,,,
2022-07-22,6458.7001953125,1595.449951171875,0.0486721232910774,14.835631269274018,6443.864564043226,,,,,,,,,,,,,,,,
2022-07-25,6382.89990234375,1549.75,0.178269389211444,54.33963638373734,6328.560265960013,,,,,,,,,,,,,,,,
2022-07-26,6399.64990234375,1534.449951171875,0.3584403562959028,109.24743410036172,6290.402468243388,,,,,,,,,,,,,,,,
2022-07-27,6535.35009765625,1576.449951171875,0.4536739724741483,138.2277679624649,6397.122329693785,,,,,,,,,,,,,,,,
2022-07-28,6471.25,1585.300048828125,0.1683972564774583,51.26905854463621,6419.980941455364,,,,,,,,,,,,,,,,
2022-07-29,6544.7998046875,1599.6500244140625,0.2890798887226876,87.86797426480734,6456.931830422693,,,,,,,,,,,,,,,,
2022-08-01,6657.64990234375,1586.300048828125,0.7681673403401964,233.34846269554143,6424.3014396482085,,,,,,,,,,,,,,,,
2022-08-02,6651.2998046875,1582.449951171875,0.7763181648509353,235.5807358952543,6415.719068792246,,,,,,,,,,,,,,,,
2022-08-03,6602.7001953125,1547.300048828125,0.9037965916319352,274.1155630517078,6328.584632260792,,,,,,,,,,,,,,,,
2022-08-04,6588.0498046875,1561.8499755859375,0.7321118847572328,221.70165152817023,6366.34815315933,,,,,,,,,,,,,,,,
2022-08-05,6775.2001953125,1616.300048828125,0.8965351501087112,271.1713159698411,6504.028879342659,,,,,,,,,,,,,,,,
2022-08-08,6677.85009765625,1603.300048828125,0.6798759102812421,205.31519235589167,6472.534905300358,,,,,,,,,,,,,,,,
