Dates,IGL.NS Y,MGL.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of MGL.NS X,Effective Margin of IGL.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IGL.NS X,Effective Investment of IGL.NS Y,Multiplier X,Multiplier Y
2022-06-21,355.3500061035156,716.9000244140625,-0.0099624829251029,-0.320368847919724,355.6703749514353,,,,,,,,,,,,,,,,
2022-06-22,357.29998779296875,737.6500244140625,-0.2080822072694693,-6.672680022668942,363.9726678156377,,,,,,,,,,,,,,,,
2022-06-23,357.6499938964844,739.0999755859375,-0.2151404164125502,-6.887291323165186,364.5372852196496,,,,,,,,,,,,,,,,
2022-06-24,369.3999938964844,756.0,-0.0618385420923681,-1.9757917614972484,371.3757856579816,,,,,,,,,,,,,,,,
2022-06-27,364.2000122070313,763.25,-0.3161663206456604,-10.077979268272998,374.27799147530425,,,,,,,,,,,,,,,,
2022-06-28,367.7000122070313,764.4000244140625,-0.2210784154705894,-7.033605211165195,374.7336174181965,,,,,,,,,,,,,,,,
2022-06-29,364.25,762.4000244140625,-0.3034435670155713,-9.629250820759694,373.8792508207597,,,,,,,,,,,,,,,,
2022-06-30,355.8999938964844,760.5999755859375,-0.5423608136428001,-17.156247484173605,373.056241380658,,,,,,,,,,,,,,,,
2022-07-01,359.79998779296875,769.9000244140625,-0.5398747517493937,-17.009929020315894,376.80991681328464,,,,,,,,,,,,,,,,
2022-07-04,363.0499877929688,777.0,-0.5303739436338887,-16.651318061175346,379.7013058541441,,,,,,,,,,,,,,,,
2022-07-05,360.5,767.1500244140625,-0.4859613168090942,-15.192025873850298,375.6920258738503,,,,,,,,,,,,,,,,
2022-07-06,364.6499938964844,782.0499877929688,-0.5492681518749453,-17.135559572032548,381.7855534685169,,,,,,,,,,,,,,,,
2022-07-07,372.3500061035156,789.1500244140625,-0.3979431277703532,-12.382577647134552,384.7325837506502,,,,,,,,,,,,,,,,
2022-07-08,370.8999938964844,803.0499877929688,-0.6284059783717343,-19.511285308888773,390.4112792053732,,,,,,,,,,,,,,,,
2022-07-11,370.9500122070313,803.5999755859375,-0.6368806520827106,-19.711330233240915,390.66134244027216,,,,,,,,,,,,,,,,
2022-07-12,366.8500061035156,791.0999755859375,-0.6067294826057729,-18.718110151775814,385.5681162552914,,,,,,,,,,,,,,,,
2022-07-13,365.25,800.0499877929688,-0.77890210158734,-23.967287540664017,389.217287540664,,,,,,,,,,,,,,,,
2022-07-14,366.1000061035156,795.2999877929688,-0.6896434388226417,-21.157946893972166,387.2579529974878,,,,,,,,,,,,,,,,
2022-07-15,368.1000061035156,796.4000244140625,-0.6425188651188005,-19.625433558630903,387.7254396621465,,,,,,,,,,,,,,,,
2022-07-18,375.1499938964844,799.7000122070312,-0.4595531755999683,-13.97283202909773,389.1228259255821,,,,,,,,,,,,,,,,
2022-07-19,372.0499877929688,785.0,-0.365612612868635,-11.058065829048983,383.10805362201774,,,,,,,,,,,,,,,,
2022-07-20,368.8999938964844,784.3499755859375,-0.4643361818899255,-13.958512280098889,382.85850617658326,,,,,,,,,,,,,,,,
2022-07-21,375.1499938964844,771.8499755859375,-0.0887844896986273,-2.6537675723351413,377.8037614688195,,,,,,,,,,,,,,,,
2022-07-22,369.3500061035156,752.0,-0.0127690428630795,-0.3793908934377441,369.72939699695337,,,,,,,,,,,,,,,,
2022-07-25,361.2000122070313,743.4500122070312,-0.1718035672221138,-5.073176471824809,366.27318867885606,,,,,,,,,,,,,,,,
2022-07-26,351.70001220703125,729.0499877929688,-0.2955422609388618,-8.683437781548264,360.3834499885795,,,,,,,,,,,,,,,,
2022-07-27,353.1499938964844,747.9000244140625,-0.5134841787634091,-15.037277668858565,368.1872715653429,,,,,,,,,,,,,,,,
2022-07-28,345.5,747.6500244140625,-0.7747714955844875,-22.58121967839372,368.0812196783937,,,,,,,,,,,,,,,,
2022-07-29,346.3500061035156,753.7000122070312,-0.8359408117648921,-24.236791549137536,370.5867976526532,,,,,,,,,,,,,,,,
2022-08-01,359.0,781.7999877929688,-0.8057141938189428,-23.234562024007914,382.2345620240079,,,,,,,,,,,,,,,,
2022-08-02,357.25,787.3499755859375,-0.9526791128919924,-27.296779008837632,384.5467790088376,,,,,,,,,,,,,,,,
2022-08-03,351.0,785.2999877929688,-1.146540541265529,-32.68614828966906,383.68614828966906,,,,,,,,,,,,,,,,
2022-08-04,351.54998779296875,780.3499755859375,-1.0604558694291966,-30.076930235083807,381.62691802805256,,,,,,,,,,,,,,,,
2022-08-05,353.1499938964844,785.2000122070312,-1.0807274266969145,-30.49203961339577,383.64203350988015,,,,,,,,,,,,,,,,
2022-08-08,358.75,817.7000122070312,-1.3660740680601682,-38.401913095424106,397.1519130954241,,,,,,,,,,,,,,,,
2022-08-10,379.7999877929688,812.2999877929688,-0.5433743993355072,-15.174075576803432,394.9740633697722,,,,,,,,,,,,,,,,
2022-08-11,408.1000061035156,860.3499755859375,-0.2538024794673659,-7.041680589772795,415.1416866932884,,,,,,,,,,,,,,,,
2022-08-12,430.3500061035156,889.75,0.1015952879565271,2.8046358052893083,427.5453702982263,,,,,,,,,,,,,,,,
2022-08-16,438.25,921.6500244140624,-0.0995715686937424,-2.732316107726376,440.9823161077264,,,,,,,,,,,,,,,,
2022-08-17,429.7999877929688,906.0999755859376,-0.176565874977801,-4.816677495109161,434.6166652880779,,,,,,,,,,,,,,,,
2022-08-18,426.9500122070313,891.75,-0.0662519416626964,-1.795604878668371,428.7456170856996,,,,,,,,,,,,,,,,
2022-08-19,418.1000061035156,867.6500244140625,-0.0256979713868006,-0.690830663997815,418.79083676751344,,,,,,,,,,,,,,,,
2022-08-22,406.8500061035156,852.4500122070312,-0.2127978175235969,-5.66673688891467,412.5167429924303,,,,,,,,,,,,,,,,
2022-08-23,414.6000061035156,860.0999755859375,-0.0463369008690049,-1.2235768870259562,415.8235829905416,,,,,,,,,,,,,,,,
2022-08-24,424.6499938964844,863.0,0.2851545818328112,7.480970338592442,417.16902355789193,,,,,,,,,,,,,,,,
2022-08-25,416.7000122070313,855.8499755859375,0.0922846817199423,2.40602020643729,414.293992000594,,,,,,,,,,,,,,,,
2022-08-26,418.5,854.7000122070312,0.1761086685476006,4.5662934613191055,413.9337065386809,,,,,,,,,,,,,,,,
2022-08-29,419.8999938964844,861.2000122070312,0.1203178019334646,3.102818380559484,416.7971755159249,,,,,,,,,,,,,,,,
2022-08-30,419.1000061035156,868.4500122070312,-0.0325274791811998,-0.8367249857935803,419.9367310893092,,,,,,,,,,,,,,,,
