Dates,HCLTECH.NS Y,COFORGE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of COFORGE.NS X,Effective Margin of HCLTECH.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HCLTECH.NS X,Effective Investment of HCLTECH.NS Y,Multiplier X,Multiplier Y
2023-08-10,1134.300048828125,5146.89990234375,-1.4078153988625932,-67.06307713626848,1201.3631259643937,,0.0059246635866093,,,,,,,,,,,,,,,
2023-08-11,1171.449951171875,5267.89990234375,-0.9499806112852744,-45.25454888289687,1216.704500054772,,0.004261986741879,,,,,,,,,,,,,,,
2023-08-14,1171.0,5277.0498046875,-0.9795560560964724,-46.69681060951007,1217.69681060951,,0.0055680060933344,,,,,,,,,,,,,,,
2023-08-16,1177.1500244140625,5075.9501953125,-0.3143125610954267,-14.982751632673171,1192.1327760467357,,0.0037503042451846,,,,,,,,,,,,,,,
2023-08-17,1176.699951171875,5005.2001953125,-0.1377458707431124,-6.559367986287725,1183.2593191581627,,0.0032376398131767,,,,,,,,,,,,,,,
2023-08-18,1173.699951171875,4920.14990234375,0.0262083930573429,1.2481329916322466,1172.4518181802428,,0.0033963248666989,,,,,,,,,,,,,,,
2023-08-21,1179.25,4996.5,-0.0638808365586697,-3.040928731432359,1182.2909287314324,,0.0030909487343058,,,,,,,,,,,,,,,
2023-08-22,1179.5,4961.0,0.0344728359832467,1.640590245851172,1177.8594097541488,,0.0029084936562924,,,,,,,,,,,,,,,
2023-08-23,1182.5,4913.10009765625,0.2247749525720526,10.698466820227168,1171.8015331797728,,0.0030683917709486,,,,,,,,,,,,,,,
2023-08-24,1171.25,5390.85009765625,-1.2927616041029524,-61.50683981469274,1232.7568398146927,,0.0037758551936038,,,,,,,,,,,,,,,
2023-08-25,1153.949951171875,5256.2001953125,-1.2885324850012598,-61.411689327689146,1215.361640499564,,0.0040334886975472,,,,,,,,,,,,,,,
2023-08-28,1146.449951171875,5171.89990234375,-1.2148420451858797,-57.98633611166588,1204.4362872835409,,0.003625837337799,,,,,,,,,,,,,,,
2023-08-29,1157.550048828125,5225.60009765625,-1.1237070246955423,-53.6576575758811,1211.207706404006,,0.0041008525129696,,,,,,,,,,,,,,,
2023-08-30,1170.5,5298.25,-1.0433976101080158,-49.84384988030433,1220.3438498803043,,0.0038664313657511,,,,,,,,,,,,,,,
2023-08-31,1172.1500244140625,5466.4501953125,-1.451148106336332,-69.37236930696349,1241.522393721026,,0.0056439569575636,,,,,,,,,,,,,,,
2023-09-01,1185.800048828125,5451.89990234375,-1.119685255557406,-53.59169119636181,1239.3917400244868,,0.0047919838312812,,,,,,,,,,,,,,,
2023-09-04,1232.5,5489.0,-0.2436546882799253,-11.658148115050151,1244.1581481150502,,0.0032466639820503,,,,,,,,,,,,,,,
2023-09-05,1235.550048828125,5611.5,-0.5026242277853089,-24.03897367566856,1259.5890225037936,,0.0038591056034485,,,,,,,,,,,,,,,
2023-09-06,1235.8499755859375,5625.60009765625,-0.5286375619840251,-25.288809074361325,1261.1387846602988,,0.0036210051057487,,,,,,,,,,,,,,,
2023-09-07,1254.0,5610.35009765625,-0.1072453843085089,-5.130921354907514,1259.1309213549075,,0.0037721776096941,,,,,,,,,,,,,,,
2023-09-08,1262.050048828125,5550.60009765625,0.2204336877234085,10.548393219162564,1251.5016556089624,,0.0035940910386473,,,,,,,,,,,,,,,
2023-09-11,1281.550048828125,5515.7001953125,0.7215701048468124,34.52320590716499,1247.02684292096,,0.0026994984295622,,,,,,,,,,,,,,,
2023-09-12,1282.4000244140625,5459.5,0.884573628603681,42.35793795424843,1240.042086459814,,0.0027632996437192,,,,,,,,,,,,,,,
2023-09-13,1275.25,5437.14990234375,0.7922689405236893,37.95551509309144,1237.2944849069086,,0.0130802148149025,,,,,,,,,,,,,,,
2023-09-14,1283.5999755859375,5456.64990234375,0.915556505171916,43.84714254833784,1239.7528330375997,,0.0061648818794842,,,,,,,,,,,,,,,
2023-09-15,1304.5999755859375,5618.89990234375,0.925405995641084,44.27113347134673,1260.3288421145908,,0.0060816750712331,,,,,,,,,,,,,,,
2023-09-18,1305.0,5544.89990234375,1.1317801784817136,54.14151118288555,1250.8584888171144,,0.0137228878605264,,,,,,,,,,,,,,,
2023-09-20,1293.4000244140625,5418.0,1.227765680483696,58.752861835921976,1234.6471625781403,,0.007335984818167,,,,,,,,,,,,,,,
2023-09-21,1278.0,5336.2998046875,1.1329310061154805,54.089670385669706,1223.9103296143303,,0.0066686330346977,,,,,,,,,,,,,,,
2023-09-22,1273.699951171875,5293.4501953125,1.1579755631869737,55.27762498006291,1218.422326191812,,0.0061762818015784,,,,,,,,,,,,,,,
2023-09-25,1263.449951171875,5285.89990234375,0.9652744467834864,46.04857180590898,1217.401379365966,,0.005440736720786,,,,,,,,,,,,,,,
2023-09-26,1261.449951171875,5193.2001953125,1.1708871683624624,55.84296165011983,1205.6069895217552,,0.0071858849084977,,,,,,,,,,,,,,,
2023-09-27,1261.0999755859375,5204.9501953125,1.134985831461406,54.08768092553282,1207.012294660405,,0.0071400723710855,,,,,,,,,,,,,,,
2023-09-28,1241.9000244140625,5123.2998046875,0.9505693223005204,45.28707681279411,1196.6129476012684,,0.0047185888648387,,,,,,,,,,,,,,,
2023-09-29,1234.800048828125,5104.4501953125,0.8541726219330409,40.67196038280031,1194.1280884453247,,0.0059895912260072,,,,,,,,,,,,,,,
2023-10-03,1238.699951171875,5106.60009765625,0.9363783936190876,44.509698882427074,1194.190252289448,,0.0049285252395053,,,,,,,,,,,,,,,
2023-10-04,1239.550048828125,5135.75,0.8798305398674799,41.789916815168,1197.760132012957,,0.0054388393537947,,,,,,,,,,,,,,,
2023-10-05,1235.449951171875,5205.7001953125,0.6150831024434241,29.1557135484818,1206.2942376233932,,0.0035605157723433,,,,,,,,,,,,,,,
2023-10-06,1237.699951171875,5185.5498046875,0.7216951599921771,34.17252651937633,1203.527424652499,,0.0067315740919056,,,,,,,,,,,,,,,
2023-10-09,1249.5999755859375,5138.75,1.102184224831026,52.120151298581504,1197.479824287356,,0.0066791081522982,,,,,,,,,,,,,,,
2023-10-10,1261.800048828125,5196.25,1.2048975054193956,57.0173816565798,1204.7826671715452,,0.0093195806930227,,,,,,,,,,,,,,,
2023-10-11,1245.5999755859375,5154.64990234375,0.9727122711345462,46.04276508242219,1199.5572105035153,,0.0089059826612301,,,,,,,,,,,,,,,
2023-10-12,1223.75,5096.89990234375,0.659997677349814,31.26000690383125,1192.4899930961687,,0.006830433244328,,,,,,,,,,,,,,,
