Dates,BEL.NS Y,HAL.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of HAL.NS X,Effective Margin of BEL.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of BEL.NS X,Effective Investment of BEL.NS Y,Multiplier X,Multiplier Y
2023-09-01,137.85000610351562,1970.875,1.2063602526857826,6.012519660003335,131.8374864435123,,0.0694662143595152,,,,,,,,,,,,,,,
2023-09-04,140.5500030517578,1983.125,1.6163059466840493,8.061906199130703,132.4880968526271,,0.0837249796888518,,,,,,,,,,,,,,,
2023-09-05,139.6999969482422,1976.425048828125,1.494070010106885,7.461182443152353,132.23881450508983,,0.0751616176779818,,,,,,,,,,,,,,,
2023-09-06,138.3000030517578,1994.7249755859373,1.032253798031823,5.1532777799173175,133.1467252718405,,0.0671595552865948,,,,,,,,,,,,,,,
2023-09-07,139.85000610351562,2020.125,1.0935853074953694,5.45553327856112,134.3944728249545,,0.0799383041211282,,,,,,,,,,,,,,,
2023-09-08,143.3000030517578,2052.77490234375,1.4587513355977926,7.284426846564742,136.01557620519307,,0.0878721578696845,,,,,,,,,,,,,,,
2023-09-11,144.6999969482422,2041.3499755859373,1.8214838103443949,9.125603493186476,135.5743934550557,,0.1069492250928469,,,,,,,,,,,,,,,
2023-09-12,134.14999389648438,1970.4000244140625,0.3856664619721743,1.9326552014395872,132.2173386950448,,0.0543954222861665,,,,,,,,,,,,,,,
2023-09-13,135.85000610351562,1985.1500244140625,0.5812919582969698,2.911622439338202,132.93838366417742,,0.0584823804807786,,,,,,,,,,,,,,,
2023-09-14,136.8000030517578,1979.0999755859373,0.8219007308436197,4.117170921615923,132.6828321301419,,0.0643026550532151,,,,,,,,,,,,,,,
2023-09-15,135.6999969482422,1973.824951171875,0.6471309188322919,3.242351586484631,132.45764536175756,,0.0633875192025302,,,,,,,,,,,,,,,
2023-09-18,139.89999389648438,1991.800048828125,1.3009974466945435,6.527520605968846,133.37247329051553,,0.0775502287128751,,,,,,,,,,,,,,,
2023-09-20,136.89999389648438,1996.300048828125,0.6544658552588137,3.2846697145123187,133.61532418197206,,0.0648485127806486,,,,,,,,,,,,,,,
2023-09-21,135.25,1957.7249755859373,0.6854701476814283,3.442743663811086,131.8072563361889,,0.0666143929556164,,,,,,,,,,,,,,,
2023-09-22,136.0500030517578,1935.0,1.0507050176942208,5.283081933392964,130.76692111836485,,0.0717408443388952,,,,,,,,,,,,,,,
2023-09-25,136.60000610351562,1927.5,1.2188185301843977,6.138199223750661,130.46180687976496,,0.0754542842269699,,,,,,,,,,,,,,,
2023-09-26,137.64999389648438,1935.574951171875,1.3378993838949398,6.748784036528804,130.90120985995557,,0.0803301206651169,,,,,,,,,,,,,,,
2023-09-27,136.60000610351562,1918.8499755859373,1.276766772462854,6.449643425012312,130.1503626785033,,0.0835108691672602,,,,,,,,,,,,,,,
2023-09-28,135.0500030517578,1889.1500244140625,1.2405181587540322,6.27553803820166,128.77446501355615,,0.0809450497420227,,,,,,,,,,,,,,,
2023-09-29,138.3000030517578,1928.1500244140625,1.4998901463706231,7.601604411751623,130.6983986400062,,0.0866671700603105,,,,,,,,,,,,,,,
2023-10-03,139.1999969482422,1957.050048828125,1.391375630546619,7.062006728723986,132.1379902195182,,0.0877996483739977,,,,,,,,,,,,,,,
2023-10-04,138.85000610351562,1916.25,1.691095087499087,8.605531232149673,130.24447487136595,,0.0995855790487023,,,,,,,,,,,,,,,
2023-10-05,138.9499969482422,1943.8499755859373,1.4376620154621018,7.326911244352999,131.6230857038892,,0.1001295761039515,,,,,,,,,,,,,,,
2023-10-06,139.0,1956.0999755859373,1.321095132100501,6.740027214795106,132.2599727852049,,0.0938262282538186,,,,,,,,,,,,,,,
2023-10-09,135.75,1920.8499755859373,1.0071977731117292,5.145059764118116,130.60494023588188,,0.0799162254180404,,,,,,,,,,,,,,,
2023-10-10,139.9499969482422,1959.449951171875,1.4519649049216123,7.429973220931402,132.5200237273108,,0.0945543478201706,,,,,,,,,,,,,,,
2023-10-11,137.75,1961.5999755859373,0.99344757534316,5.087852405279534,132.66214759472047,,0.0845079042886527,,,,,,,,,,,,,,,
2023-10-12,138.1999969482422,1968.449951171875,1.008595347716167,5.169104030756245,133.03089291748594,,0.077077699084514,,,,,,,,,,,,,,,
2023-10-13,137.4499969482422,1975.0999755859373,0.7930011893742112,4.066345990926436,133.38365095731575,,0.0701073494718856,,,,,,,,,,,,,,,
2023-10-16,137.39999389648438,1963.300048828125,0.8877908386548387,4.554262867795757,132.84573102868862,,0.0745727716268079,,,,,,,,,,,,,,,
2023-10-17,138.5500030517578,1963.699951171875,1.0998769671957285,5.646044012052073,132.90395903970574,,0.0814174397683337,,,,,,,,,,,,,,,
2023-10-18,137.0500030517578,1962.6500244140625,0.8119044035393788,4.169193180977459,132.88080987078035,,0.0750078092956823,,,,,,,,,,,,,,,
2023-10-19,137.0,1953.9000244140625,0.8782502215281295,4.51227892228448,132.48772107771552,,0.0804924443696827,,,,,,,,,,,,,,,
2023-10-20,134.1999969482422,1912.699951171875,0.7160181134881979,3.680684466470211,130.51931248177198,,0.0788461902401196,,,,,,,,,,,,,,,
2023-10-23,132.6999969482422,1845.300048828125,1.0495867733088853,5.403729227601602,127.2962677206406,,0.0856997779493105,,,,,,,,,,,,,,,
2023-10-25,131.1999969482422,1809.8499755859373,1.0833774153543934,5.585561391627522,125.61443555661468,,0.0902736280261645,,,,,,,,,,,,,,,
2023-10-26,128.85000610351562,1819.449951171875,0.5349793592259865,2.7584598177389523,126.09154628577669,,0.0702144738357193,,,,,,,,,,,,,,,
2023-10-27,132.1999969482422,1854.4000244140625,0.8513545598668512,4.391963483004986,127.8080334652372,,0.0745498915928549,,,,,,,,,,,,,,,
2023-10-30,131.9499969482422,1834.5999755859373,0.983004549510876,5.074636495361673,126.87536045288051,,0.0789070857530407,,,,,,,,,,,,,,,
2023-10-31,133.25,1823.050048828125,1.3343581703744205,6.89841777036861,126.3515822296314,,0.0912824742847286,,,,,,,,,,,,,,,
2023-11-01,132.39999389648438,1822.699951171875,1.1662814170911386,6.035375891125113,126.36461800535926,,0.0987157661171392,,,,,,,,,,,,,,,
2023-11-02,134.75,1855.449951171875,1.3053193200457611,6.76257350712477,127.98742649287524,,0.1091548541474812,,,,,,,,,,,,,,,
2023-11-03,135.9499969482422,1901.75,1.0953758765957606,5.68014350447848,130.2698534437637,,0.1019005472151096,,,,,,,,,,,,,,,
2023-11-06,137.64999389648438,1934.75,1.1047230534502614,5.7332795906787055,131.91671430580567,,0.0994156297453308,,,,,,,,,,,,,,,
2023-11-07,138.0500030517578,2017.1500244140625,0.4067288739159074,2.1096144338478666,135.94038861790995,,0.0789835690065255,,,,,,,,,,,,,,,
2023-11-08,140.39999389648438,2044.550048828125,0.5966260717132362,3.0942984589883338,137.30569543749604,,0.0819098979959544,,,,,,,,,,,,,,,
2023-11-09,137.9499969482422,2030.800048828125,0.2500035164083666,1.296641848518533,136.65335509972363,,0.0811629143197169,,,,,,,,,,,,,,,
2023-11-10,138.8000030517578,2058.89990234375,0.1481883202833041,0.7683524855308121,138.031650566227,,0.0797465871029111,,,,,,,,,,,,,,,
2023-11-13,143.39999389648438,2060.35009765625,1.0116469162454984,5.250954730349633,138.14903916613474,,0.0885865833956354,,,,,,,,,,,,,,,
2023-11-15,143.0500030517578,2091.0,0.6504681247463842,3.376946818752032,139.67305623300578,,0.0825705564552592,,,,,,,,,,,,,,,
2023-11-16,142.60000610351562,2114.300048828125,0.3428347988804039,1.7795396229186051,140.82046648059702,,0.0776896637071917,,,,,,,,,,,,,,,
