Dates,COFORGE.NS Y,PERSISTENT.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of PERSISTENT.NS X,Effective Margin of COFORGE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of COFORGE.NS X,Effective Investment of COFORGE.NS Y,Multiplier X,Multiplier Y
2023-09-28,5123.2998046875,2868.47509765625,-0.4704084991427423,-248.48669552170304,5371.786500209203,,0.091039416131476,,,,,,,,,,,,,,,
2023-09-29,5104.4501953125,2898.35009765625,-0.5849766545895876,-306.965833593621,5411.416028906121,,0.0842629460579645,,,,,,,,,,,,,,,
2023-10-03,5106.60009765625,2864.02490234375,-0.4928072277531325,-257.0410859021349,5363.641183558385,,0.0943199382369511,,,,,,,,,,,,,,,
2023-10-04,5135.75,2846.324951171875,-0.3928378935531184,-203.68331784694053,5339.433317846941,,0.0644689353095448,,,,,,,,,,,,,,,
2023-10-05,5205.7001953125,2869.675048828125,-0.3221031201745427,-165.74322829942048,5371.4434236119205,,0.04680435058972,,,,,,,,,,,,,,,
2023-10-06,5185.5498046875,2874.02490234375,-0.3710329706627224,-189.38374585262045,5374.93355054012,,0.1064125953988912,,,,,,,,,,,,,,,
2023-10-09,5138.75,2797.925048828125,-0.2555304668408146,-129.81621638010074,5268.566216380101,,0.1134729619889988,,,,,,,,,,,,,,,
2023-10-10,5196.25,2878.574951171875,-0.3619246634750425,-182.6797749541001,5378.9297749541,,0.1174691402803245,,,,,,,,,,,,,,,
2023-10-11,5154.64990234375,2880.47509765625,-0.4464000357227879,-224.14233985148712,5378.792242195237,,0.079080620910196,,,,,,,,,,,,,,,
2023-10-12,5096.89990234375,2885.72509765625,-0.5687263696856394,-283.7279121897918,5380.627814533542,,0.0629978493729313,,,,,,,,,,,,,,,
2023-10-13,5006.64990234375,2882.72509765625,-0.7350348357734207,-364.18424107298233,5370.834143416732,,0.024311234876667,,,,,,,,,,,,,,,
2023-10-16,5040.14990234375,2880.449951171875,-0.6555011082529516,-321.6253504973156,5361.775252841066,,0.0290578033162123,,,,,,,,,,,,,,,
2023-10-17,5061.7001953125,2855.824951171875,-0.5365386839998441,-260.8924946244697,5322.59268993697,,0.0732599942640808,,,,,,,,,,,,,,,
2023-10-18,5092.10009765625,2857.875,-0.4770068816625095,-230.3872882807791,5322.487385937029,,0.053070760065221,,,,,,,,,,,,,,,
2023-10-19,5108.7998046875,2924.47509765625,-0.6322692901493151,-302.85741825095465,5411.657222938455,,0.1869850192416207,,,,,,,,,,,,,,,
2023-10-20,5000.10009765625,2953.64990234375,-0.9347538002509148,-446.19051713812496,5446.290614794375,,0.1882019259798412,,,,,,,,,,,,,,,
2023-10-23,4915.39990234375,2903.125,-0.9591270750287472,-456.58312233908873,5371.983024682839,,0.2405112988204787,,,,,,,,,,,,,,,
2023-10-25,4899.0498046875,2949.27490234375,-1.1148150247919926,-529.2323431135364,5428.282147801036,,0.2439852431234969,,,,,,,,,,,,,,,
2023-10-26,4904.39990234375,2933.27490234375,-1.047336405602643,-496.0629356684431,5400.462838012193,,0.2872622662719637,,,,,,,,,,,,,,,
2023-10-27,5008.9501953125,3041.875,-1.1266378462826214,-532.0234059696668,5540.973601282167,,0.241088434203136,,,,,,,,,,,,,,,
2023-10-30,4988.64990234375,3033.949951171875,-1.1326060497715278,-533.6435020382132,5522.293404381963,,0.2612224154930576,,,,,,,,,,,,,,,
2023-10-31,4984.25,3080.10009765625,-1.2570099432415924,-590.841018540269,5575.091018540269,,0.2430660580231715,,,,,,,,,,,,,,,
2023-11-01,5026.60009765625,3105.5,-1.2237409017976275,-573.6221006655778,5600.222198321828,,0.2417880819336479,,,,,,,,,,,,,,,
2023-11-02,5056.39990234375,3112.72509765625,-1.1649098486966742,-544.6695472182901,5601.06944956204,,0.1705776911615829,,,,,,,,,,,,,,,
2023-11-03,5083.10009765625,3143.074951171875,-1.1785080934997445,-548.7646940402547,5631.864791696505,,0.1229023692951061,,,,,,,,,,,,,,,
2023-11-06,5115.2998046875,3123.0,-1.0393618725548233,-481.6328246019002,5596.9326292894,,0.1219544100189847,,,,,,,,,,,,,,,
2023-11-07,5087.60009765625,3113.074951171875,-1.057845386692723,-487.9223851939241,5575.522482850174,,0.1051011892420595,,,,,,,,,,,,,,,
2023-11-08,5111.7001953125,3144.199951171875,-1.0819258792729711,-496.1851965007736,5607.885391813274,,0.0916141337430392,,,,,,,,,,,,,,,
2023-11-09,5128.10009765625,3159.85009765625,-1.078311261826665,-491.59349644486247,5619.6935941011125,,0.0846303906564548,,,,,,,,,,,,,,,
2023-11-10,5139.0,3123.074951171875,-0.9370461855220744,-424.77084021626615,5563.770840216266,,0.0302064789800243,,,,,,,,,,,,,,,
2023-11-13,5085.2001953125,3118.050048828125,-1.0301848524292678,-462.9551619570184,5548.155357269518,,0.0155395883151164,,,,,,,,,,,,,,,
2023-11-15,5343.25,3131.89990234375,-0.4887106154544258,-217.0823262968379,5560.332326296838,,0.025885858751335,,,,,,,,,,,,,,,
2023-11-16,5701.10009765625,3198.125,0.1249621438184958,54.93276859224534,5646.167329064005,,0.0359006295675063,,,,,,,,,,,,,,,
2023-11-17,5674.9501953125,3193.425048828125,0.0785425810803867,34.24644471404463,5640.703750598455,,0.0364218132770872,,,,,,,,,,,,,,,
2023-11-20,5708.4501953125,3240.25,0.0172350193921637,7.449032871591044,5701.001162440909,,0.0389863601896937,,,,,,,,,,,,,,,
2023-11-21,5625.39990234375,3232.800048828125,-0.1513850426419885,-64.92554268354434,5690.325445027294,,0.0165098064319574,,,,,,,,,,,,,,,
2023-11-22,5634.4501953125,3297.0,-0.3241750093070726,-137.50262779329842,5771.952823105798,,0.0313844489961587,,,,,,,,,,,,,,,
2023-11-23,5619.64990234375,3189.425048828125,-0.0327290825525259,-13.785693403335245,5633.435595747085,,0.0336968099481425,,,,,,,,,,,,,,,
2023-11-24,5618.5498046875,3195.175048828125,-0.0546037049332601,-22.811125193327825,5641.360929880828,,0.0234039839950121,,,,,,,,,,,,,,,
2023-11-28,5566.2998046875,3159.550048828125,-0.0669832923588919,-27.74084669902186,5594.040651386522,,0.0347200414474463,,,,,,,,,,,,,,,
2023-11-29,5694.75,3221.35009765625,0.0490756409398167,20.147667046597235,5674.602332953403,,0.0471322710692536,,,,,,,,,,,,,,,
2023-11-30,5760.85009765625,3199.97509765625,0.2809258328784076,114.57594771899312,5646.274149937257,,0.0505026373580632,,,,,,,,,,,,,,,
2023-12-01,5714.0,3216.64990234375,0.1151442732740851,46.638425965009446,5667.361574034991,,0.0843798369536893,,,,,,,,,,,,,,,
2023-12-04,5675.9501953125,3220.72509765625,0.0096510791239803,3.8899383539610426,5672.060256958539,,0.0525356779475175,,,,,,,,,,,,,,,
2023-12-05,5605.85009765625,3189.97509765625,-0.0622921013814305,-24.95522210186573,5630.805319758116,,0.0556079250076982,,,,,,,,,,,,,,,
2023-12-06,5701.75,3167.89990234375,0.2506720277588022,99.83351863878852,5601.916481361212,,0.0565533070554979,,,,,,,,,,,,,,,
2023-12-07,5700.64990234375,3154.425048828125,0.2940766179781147,116.43327450550804,5584.216627838242,,0.0452492828354864,,,,,,,,,,,,,,,
2023-12-08,5783.0,3232.25,0.2442177644448595,95.95486572087702,5687.045134279123,,0.0254111147713285,,,,,,,,,,,,,,,
2023-12-11,5864.75,3263.52490234375,0.3500124743848192,136.32013408538114,5728.429865914619,,0.0281439827333107,,,,,,,,,,,,,,,
2023-12-12,5856.64990234375,3263.72509765625,0.3312941836527176,127.99121215536344,5728.658690188387,,0.0431257498953932,,,,,,,,,,,,,,,
2023-12-13,5830.4501953125,3260.85009765625,0.2752808554547861,105.64618682835317,5724.804008484147,,0.0468725535773053,,,,,,,,,,,,,,,
2023-12-14,6156.7001953125,3429.64990234375,0.5411353459337712,205.97920434902332,5950.720990963477,,0.0577784486200122,,,,,,,,,,,,,,,
2023-12-15,6439.85009765625,3612.425048828125,0.6437635171516229,243.1180129418872,6196.732084714363,,0.0712299643492403,,,,,,,,,,,,,,,
2023-12-18,6441.10009765625,3573.27490234375,0.7751076808118365,291.63281404847567,6149.467283607774,,0.0325951278428162,,,,,,,,,,,,,,,
2023-12-19,6273.39990234375,3532.14990234375,0.4742938272684072,177.2002405598205,6096.1996617839295,,0.026076353413456,,,,,,,,,,,,,,,
2023-12-20,6039.0498046875,3498.300048828125,-0.0243492214363202,-9.027802804906967,6048.077607492407,,0.0319485355211829,,,,,,,,,,,,,,,
2023-12-21,6127.89990234375,3581.300048828125,-0.0760905614957898,-27.98170090111398,6155.881603244864,,0.0104260256375696,,,,,,,,,,,,,,,
2023-12-22,6290.2001953125,3715.675048828125,-0.1137134801678524,-41.304938219129326,6331.505133531629,,0.0111020544349617,,,,,,,,,,,,,,,
2023-12-26,6276.0498046875,3679.27490234375,-0.0091501036015164,-3.291962228320699,6279.341766915821,,0.0084609537442485,,,,,,,,,,,,,,,
2023-12-27,6299.39990234375,3697.89990234375,-0.0035682050972597,-1.269638854482764,6300.669541198233,,0.0076996837887995,,,,,,,,,,,,,,,
