Dates,IOC.NS Y,BPCL.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BPCL.NS X,Effective Margin of IOC.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IOC.NS X,Effective Investment of IOC.NS Y,Multiplier X,Multiplier Y
2023-08-25,91.8000030517578,350.25,1.960244007565032,12.688068148296594,79.11193490346122,,0.229104146829095,,,,,,,,,,,,,,,
2023-08-28,91.9000015258789,355.29998779296875,1.8957669582110777,12.222962629486489,79.67703889639242,,0.164348845038646,,,,,,,,,,,,,,,
2023-08-29,91.9000015258789,356.79998779296875,1.871654235363089,12.007623312818367,79.89237821306054,,0.1113502874016922,,,,,,,,,,,,,,,
2023-08-30,90.75,351.95001220703125,1.7771426973992062,11.327259268521289,79.42274073147871,,0.1031269864297612,,,,,,,,,,,,,,,
2023-08-31,89.0999984741211,340.54998779296875,1.7243639363373575,10.916985677957657,78.18301279616344,,0.0534316866607618,,,,,,,,,,,,,,,
2023-09-01,89.05000305175781,344.20001220703125,1.6625090398311857,10.437520483639886,78.61248256811793,,0.0593370507066107,,,,,,,,,,,,,,,
2023-09-04,90.05000305175781,344.70001220703125,1.821887855376519,11.354559701642472,78.69544335011534,,0.0473049942217951,,,,,,,,,,,,,,,
2023-09-05,91.3499984741211,350.20001220703125,1.933322070257576,11.952452332406295,79.3975461417148,,0.0381638629207125,,,,,,,,,,,,,,,
2023-09-06,91.3499984741211,353.1499938964844,1.8826907494732457,11.531771328890471,79.81822714523062,,0.0606081070108883,,,,,,,,,,,,,,,
2023-09-07,91.6999969482422,354.6000061035156,1.9188303651163636,11.6316487601065,80.06834818813569,,0.4676162741903107,,,,,,,,,,,,,,,
2023-09-08,94.0,361.9500122070313,2.1393139489005697,12.853975232468455,81.14602476753154,,0.5478637893641466,,,,,,,,,,,,,,,
2023-09-11,95.1999969482422,363.75,2.296809637946047,13.693570605803773,81.50642634243842,,0.6041184031792839,,,,,,,,,,,,,,,
2023-09-12,91.5500030517578,348.3999938964844,2.045841097391609,12.18685286575527,79.36315018600254,,0.5917944043241778,,,,,,,,,,,,,,,
2023-09-13,93.0999984741211,355.6000061035156,2.1237942367372526,12.645936881923603,80.45406159219749,,0.6143702316596855,,,,,,,,,,,,,,,
2023-09-14,94.6500015258789,358.75,2.2964037678854847,13.674870245548888,80.97513128033002,,0.7159952065856539,,,,,,,,,,,,,,,
2023-09-15,91.9499969482422,352.25,1.9967559084812556,11.885893731436482,80.0641032168057,,0.6140251421020455,,,,,,,,,,,,,,,
2023-09-18,92.5999984741211,360.3500061035156,1.8958853333304848,11.275203487762951,81.32479498635814,,0.6515100613165326,,,,,,,,,,,,,,,
2023-09-20,91.8499984741211,352.54998779296875,1.9589036763333263,11.650383198737316,80.19961527538378,,0.731929321751322,,,,,,,,,,,,,,,
2023-09-21,92.75,355.25,2.0324148453598787,12.092541304402587,80.65745869559741,,0.7325769098459114,,,,,,,,,,,,,,,
2023-09-22,92.25,351.95001220703125,2.024686278297498,12.050471650502844,80.19952834949716,,0.7785659796148647,,,,,,,,,,,,,,,
2023-09-25,91.9499969482422,351.8999938964844,1.966659048721774,11.716082488304338,80.23391445993785,,0.7206100937416502,,,,,,,,,,,,,,,
2023-09-26,92.0,351.6499938964844,1.971322648654549,11.766085297293031,80.23391470270697,,0.7578185000594294,,,,,,,,,,,,,,,
2023-09-27,90.4000015258789,349.0,1.7656168400605778,10.545353807084496,79.85464771879441,,0.6800111783010782,,,,,,,,,,,,,,,
2023-09-28,89.80000305175781,343.95001220703125,1.791160104661617,10.711711265520066,79.08829178623775,,0.7247838201607157,,,,,,,,,,,,,,,
2023-09-29,90.9499969482422,346.6000061035156,1.9053291267807535,11.40753778893081,79.54245915931138,,0.728036889768021,,,,,,,,,,,,,,,
2023-10-03,90.0,341.3500061035156,1.879647621994506,11.270042728180982,78.72995727181902,,0.6970481042193364,,,,,,,,,,,,,,,
2023-10-04,89.0999984741211,341.3500061035156,1.7244039386625671,10.346271168494766,78.75372730562633,,0.6365324428209427,,,,,,,,,,,,,,,
2023-10-05,89.6500015258789,344.45001220703125,1.7256167385724444,10.366036942680893,79.28396458319801,,0.5986745851303729,,,,,,,,,,,,,,,
2023-10-06,89.75,347.20001220703125,1.6611031709749278,9.985668416024822,79.76433158397518,,0.6066617181259468,,,,,,,,,,,,,,,
2023-10-09,87.44999694824219,340.0,1.4746215865144836,8.858838358462563,78.59115858977962,,0.6167165388913768,,,,,,,,,,,,,,,
2023-10-10,88.3499984741211,340.3999938964844,1.6109054307080588,9.673419489931888,78.6765789841892,,0.646607086032588,,,,,,,,,,,,,,,
2023-10-11,89.69999694824219,342.54998779296875,1.7718749836901757,10.63624794937516,79.06374899886703,,0.6646837624807154,,,,,,,,,,,,,,,
2023-10-12,90.3000030517578,348.70001220703125,1.689974718483258,10.14862385318888,80.15137919856893,,0.6006443786640749,,,,,,,,,,,,,,,
2023-10-13,90.8499984741211,347.70001220703125,1.8031388549444651,10.838710438640405,80.01128803548069,,0.6201556975530954,,,,,,,,,,,,,,,
2023-10-16,90.9000015258789,347.25,1.8173755170474173,10.9338173028233,79.9661842230556,,0.7012600276981037,,,,,,,,,,,,,,,
