Dates,HEROMOTOCO.NS Y,BAJAJ-AUTO.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BAJAJ-AUTO.NS X,Effective Margin of HEROMOTOCO.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HEROMOTOCO.NS X,Effective Investment of HEROMOTOCO.NS Y,Multiplier X,Multiplier Y
2023-08-03,2952.39990234375,4826.2998046875,0.1708440581623208,27.944145485772424,2924.4557568579776,,0.0646077375580117,,,,,,,,,,,,,,,
2023-08-04,2944.699951171875,4712.0,0.3052996993022439,49.97087959875671,2894.7290715731183,,0.0712969658911554,,,,,,,,,,,,,,,
2023-08-07,2954.050048828125,4670.10009765625,0.4268175885466772,69.85852509282086,2884.191523735304,,0.0726571904401019,,,,,,,,,,,,,,,
2023-08-08,3066.89990234375,4650.14990234375,1.1373003706480251,186.3494011653788,2880.550501178371,,0.0840351685427296,,,,,,,,,,,,,,,
2023-08-09,3059.699951171875,4666.5498046875,1.055819051064563,173.0997794422592,2886.600171729616,,0.0850348209319949,,,,,,,,,,,,,,,
2023-08-10,3035.89990234375,4636.60009765625,0.951427735528172,156.0865774599224,2879.813324883828,,0.0881792528208212,,,,,,,,,,,,,,,
2023-08-11,2998.199951171875,4599.0498046875,0.7775148709394746,127.6338659060766,2870.5660852657984,,0.0815295109817046,,,,,,,,,,,,,,,
2023-08-14,3010.64990234375,4616.7001953125,0.8167506914401746,134.1330216278889,2876.516880715861,,0.0853751379228999,,,,,,,,,,,,,,,
2023-08-16,2981.75,4600.60009765625,0.6616915973127003,108.72004437693975,2873.02995562306,,0.0807948653218481,,,,,,,,,,,,,,,
2023-08-17,2991.050048828125,4657.85009765625,0.6169720489468565,101.3548037864516,2889.6952450416734,,0.0819255952121316,,,,,,,,,,,,,,,
2023-08-18,2927.050048828125,4615.5498046875,0.2958154648478577,48.61629292118596,2878.433755906939,,0.0741089744667045,,,,,,,,,,,,,,,
2023-08-21,2931.5,4610.85009765625,0.3279960342102467,53.91401117132273,2877.5859888286773,,0.0723620461198966,,,,,,,,,,,,,,,
2023-08-22,2956.75,4628.39990234375,0.4482786274360955,73.68531359644476,2883.0646864035552,,0.0728488746345076,,,,,,,,,,,,,,,
2023-08-23,2951.75,4660.75,0.3604669457193031,59.2242889682675,2892.5257110317325,,0.0729665541702769,,,,,,,,,,,,,,,
2023-08-24,2927.75,4630.14990234375,0.2644556272502526,43.44711859299696,2884.302881407003,,0.071676247160494,,,,,,,,,,,,,,,
