Dates,DRREDDY.NS Y,ABBOTINDIA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ABBOTINDIA.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
2023-11-17,5611.5498046875,23625.5,1.2325214043905344,396.9000383251114,5214.649766362389,,0.2666859190725575,,,,,,,,,,,,,,,
2023-11-20,5604.14990234375,23975.80078125,1.0165906564257368,327.5330312633105,5276.61687108044,,0.2351901920941969,,,,,,,,,,,,,,,
2023-11-21,5646.4501953125,23950.599609375,1.1511636738936184,371.3447860266506,5275.105409285849,,0.2476230957437342,,,,,,,,,,,,,,,
2023-11-22,5664.5498046875,23904.25,1.221090405131064,394.4930237192639,5270.056780968236,,0.2524716034772025,,,,,,,,,,,,,,,
2023-11-23,5644.64990234375,23886.5,1.16004692368496,375.12495171869887,5269.524950625051,,0.2553652432740854,,,,,,,,,,,,,,,
2023-11-24,5646.14990234375,24045.849609375,1.0714085704417695,346.5988257764748,5299.551076567275,,0.2379226856252501,,,,,,,,,,,,,,,
2023-11-28,5675.7998046875,23697.75,1.337900944499964,433.5954983668307,5242.204306320669,,0.2801360104033954,,,,,,,,,,,,,,,
2023-11-29,5715.35009765625,23537.80078125,1.53262311292127,497.8370280505542,5217.513069605696,,0.3088279121481094,,,,,,,,,,,,,,,
2023-11-30,5788.14990234375,23805.150390625,1.5996531234588494,520.5180403774839,5267.631861966266,,0.3182088375108475,,,,,,,,,,,,,,,
2023-12-01,5749.39990234375,23679.5,1.5346907267254315,500.5360197669179,5248.863882576832,,0.309613979394048,,,,,,,,,,,,,,,
2023-12-04,5756.0,23398.75,1.6910823026061663,553.2783728248232,5202.721627175177,,0.3317832744489729,,,,,,,,,,,,,,,
2023-12-05,5776.4501953125,23110.44921875,1.8922782011646853,621.4731569692476,5154.977038343252,,0.3610846011668736,,,,,,,,,,,,,,,
2023-12-06,5730.35009765625,23078.05078125,1.7555879024265637,578.2896551565836,5152.060442499666,,0.3273608545577135,,,,,,,,,,,,,,,
