Dates,ICICIGI.NS Y,HDFCLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCLIFE.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-05-19,1250.949951171875,528.7000122070312,0.2419665768548641,13.199066289497068,1237.750884882378,,,,,,,,,,,,,,,,
2022-05-20,1251.5999755859375,544.7000122070312,-0.1771215703266336,-9.667259663331151,1261.2672352492689,,,,,,,,,,,,,,,,
2022-05-23,1220.8499755859375,551.1500244140625,-0.9058153893380668,-49.47547050622006,1270.3254460921576,,,,,,,,,,,,,,,,
2022-05-24,1212.0999755859375,552.9000244140625,-1.1019388151993714,-60.24022640413364,1272.3402019900711,,,,,,,,,,,,,,,,
2022-05-25,1249.550048828125,569.0999755859375,-0.8494759224751667,-46.4173121588517,1295.9673609869767,,,,,,,,,,,,,,,,
2022-05-26,1267.800048828125,578.0499877929688,-0.7510594342985513,-40.970110455091344,1308.7701592832163,,,,,,,,,,,,,,,,
2022-05-27,1260.199951171875,598.0999755859375,-1.433744913901926,-78.12075502006701,1338.320706191942,,,,,,,,,,,,,,,,
2022-05-30,1290.300048828125,608.9000244140625,-1.1741445648130282,-63.93540317101133,1354.2354519991363,,,,,,,,,,,,,,,,
2022-05-31,1265.8499755859375,598.9500122070312,-1.3346275124771032,-72.67966503187222,1338.5296406178095,,,,,,,,,,,,,,,,
2022-06-01,1252.6500244140625,607.1500244140625,-1.7951085894085432,-97.81205747059312,1350.4620818846556,,,,,,,,,,,,,,,,
2022-06-02,1235.9000244140625,607.9000244140625,-2.1071052049916963,-115.1370529827625,1351.037077396825,-1.0,,,,,,,,,,,,,,,
2022-06-03,1218.300048828125,602.7000122070312,-2.2650915231036075,-123.7959254719226,1342.0959743000476,,,,,,,,,,,,,,,,
2022-06-06,1200.8499755859375,606.0999755859375,-2.659820543475852,-145.54012075586434,1346.3900963418018,,,,,,,,,,,,,,,,
2022-06-07,1151.550048828125,605.2999877929688,-3.4911217341984084,-192.51415095914533,1344.0641997872704,,,,,,,,,,,,,,,,
2022-06-08,1107.699951171875,599.9500122070312,-4.060705715257441,-226.62460795022457,1334.3245591220996,0.0,,,,,,,,,,,,,,,
2022-06-09,1125.300048828125,604.9000244140625,-3.8317336212295934,-215.62641191507737,1340.9264607432024,,,,,,,,,,,,,,,,
2022-06-10,1121.050048828125,593.0999755859375,-3.5335332277022014,-199.1895944339676,1320.2396432620926,,,,,,,,,,,,,,,,
2022-06-13,1113.949951171875,582.0,-3.2994548721553545,-186.357448482788,1300.307399654663,,,,,,,,,,,,,,,,
2022-06-14,1145.800048828125,572.4000244140625,-2.4255501169408524,-137.4600284299163,1283.2600772580413,,,,,,,,,,,,,,,,
2022-06-15,1150.75,579.75,-2.5219144687555075,-143.65071503066451,1294.4007150306643,,,,,,,,,,,,,,,,
2022-06-16,1131.8499755859375,570.5499877929688,-2.55097274766915,-145.9537006941855,1277.803676280123,,,,,,,,,,,,,,,,
2022-06-17,1113.199951171875,550.7999877929688,-2.2663795486976825,-130.0401017462168,1243.2400529180918,,,,,,,,,,,,,,,,
2022-06-20,1126.3499755859375,553.1500244140625,-2.0764969647021188,-119.38453536200495,1245.7345109479425,,,,,,,,,,,,,,,,
2022-06-21,1141.0,564.4500122070312,-2.129353577073687,-122.94599065180682,1263.9459906518068,,,,,,,,,,,,,,,,
2022-06-22,1134.949951171875,551.7999877929688,-1.8379700794667089,-106.37755831388132,1241.3275094857563,,,,,,,,,,,,,,,,
2022-06-23,1125.25,558.0999755859375,-2.165866948582284,-125.97192360091344,1251.2219236009134,,,,,,,,,,,,,,,,
2022-06-24,1120.3499755859375,561.4500122070312,-2.32027503876082,-135.6755961408678,1256.0255717268053,,,,,,,,,,,,,,,,
2022-06-27,1133.300048828125,558.0,-1.9740846702017527,-115.83842608815668,1249.1384749162817,,,,,,,,,,,,,,,,
2022-06-28,1118.25,565.9500122070312,-2.4340285444002467,-143.60372012813878,1261.8537201281388,,,,,,,,,,,,,,,,
2022-06-29,1111.5999755859375,541.25,-1.7956190791784112,-106.15359014806243,1217.753565734,,,,,,,,,,,,,,,,
2022-06-30,1120.949951171875,550.0,-1.877458398548406,-111.44293868552086,1232.392889857396,,,,,,,,,,,,,,,,
2022-07-01,1145.75,565.4500122070312,-1.9010140109600373,-113.33173383957728,1259.0817338395773,,,,,,,,,,,,,,,,
