Dates,COFORGE.NS Y,BSOFT.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BSOFT.NS X,Effective Margin of COFORGE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of COFORGE.NS X,Effective Investment of COFORGE.NS Y,Multiplier X,Multiplier Y
2023-08-24,5390.85009765625,474.8999938964844,0.7496404880043618,331.4054164498548,5059.444681206395,,0.1832469488299338,,,,,,,,,,,,,,,
2023-08-25,5256.2001953125,484.5499877929688,0.3050560032909026,134.67609975349114,5121.524095559009,,0.1511080304537779,,,,,,,,,,,,,,,
2023-08-28,5171.89990234375,485.0499877929688,0.1108608475325027,48.87246882340514,5123.027433520345,,0.1450368127821515,,,,,,,,,,,,,,,
2023-08-29,5225.60009765625,493.7000122070313,0.1088077468380207,47.879923781310936,5177.720173874939,,0.1488184291901591,,,,,,,,,,,,,,,
2023-08-30,5298.25,493.4500122070313,0.2804040798650232,123.23451279785512,5175.015487202145,,0.1372133724732579,,,,,,,,,,,,,,,
2023-08-31,5466.4501953125,509.7000122070313,0.4253352899989329,186.50588568044623,5279.944309632054,,0.1253050160601381,,,,,,,,,,,,,,,
2023-09-01,5451.89990234375,528.3499755859375,0.1206927140064897,52.75866610403409,5399.141236239716,,0.1397489667020526,,,,,,,,,,,,,,,
2023-09-04,5489.0,518.7999877929688,0.3497396899968493,152.74455759392004,5336.25544240608,,0.1352571886401262,,,,,,,,,,,,,,,
2023-09-05,5611.5,524.7999877929688,0.5412055872571075,235.9622842269564,5375.537715773044,,0.1476687531106823,,,,,,,,,,,,,,,
2023-09-06,5625.60009765625,518.7000122070312,0.6634348659683865,289.0513695450918,5336.548728111158,,0.1458560643573079,,,,,,,,,,,,,,,
2023-09-07,5610.35009765625,512.8499755859375,0.7152949999190201,311.3863181023744,5298.963779553876,,0.1248018303566751,,,,,,,,,,,,,,,
2023-09-08,5550.60009765625,518.5,0.4961096925370331,215.4492909236069,5335.150806732643,,0.1223320387920192,,,,,,,,,,,,,,,
2023-09-11,5515.7001953125,508.3999938964844,0.5702625106462323,247.30903754158865,5268.391157770911,,0.1014232988880863,,,,,,,,,,,,,,,
2023-09-12,5459.5,497.1499938964844,0.6141171722955352,265.74311921026674,5193.756880789733,,0.1016376859465609,,,,,,,,,,,,,,,
2023-09-13,5437.14990234375,494.1000061035156,0.6127196785942474,264.4649760762168,5172.684926267533,,0.1066309958087893,,,,,,,,,,,,,,,
2023-09-14,5456.64990234375,505.75,0.4858489024720986,209.0728185226726,5247.577083821077,,0.0679147468019377,,,,,,,,,,,,,,,
2023-09-15,5618.89990234375,504.0,0.893642670400558,383.1751827175231,5235.724719626227,,0.1025830485039997,,,,,,,,,,,,,,,
2023-09-18,5544.89990234375,489.0499877929688,0.9521695569501112,407.53048229440174,5137.369420049348,,0.0912478113762471,,,,,,,,,,,,,,,
2023-09-20,5418.0,485.0,0.7240565237139805,308.908560494554,5109.091439505446,,0.087434955745934,,,,,,,,,,,,,,,
2023-09-21,5336.2998046875,491.2999877929688,0.4439645005353976,188.72851056945547,5147.5712941180445,,0.1052863372410921,,,,,,,,,,,,,,,
2023-09-22,5293.4501953125,488.0499877929688,0.3977693117451756,168.72650833330226,5124.723686979198,,0.1240383730797003,,,,,,,,,,,,,,,
2023-09-25,5285.89990234375,488.3999938964844,0.37759952017821,159.92459589124155,5125.975306452508,,0.1059996153536317,,,,,,,,,,,,,,,
2023-09-26,5193.2001953125,483.75,0.2342849634397044,99.01678172503853,5094.1834135874615,,0.1050663820261999,,,,,,,,,,,,,,,
2023-09-27,5204.9501953125,491.5,0.1474847839927173,62.17774314201415,5142.772452170486,,0.0825989778130249,,,,,,,,,,,,,,,
2023-09-28,5123.2998046875,474.4500122070313,0.2206879425350088,92.80046417202902,5030.499340515471,,0.0815373848345501,,,,,,,,,,,,,,,
2023-09-29,5104.4501953125,483.3500061035156,0.0441339498091557,18.493887393991827,5085.956307918508,,0.0758250982905026,,,,,,,,,,,,,,,
2023-10-03,5106.60009765625,496.8500061035156,-0.1527053774022334,-63.745095785832746,5170.345193442083,,0.0843487261829656,,,,,,,,,,,,,,,
2023-10-04,5135.75,491.3999938964844,0.0071221292373434,2.9650326201708594,5132.784967379829,,0.0766133380449669,,,,,,,,,,,,,,,
2023-10-05,5205.7001953125,513.3499755859375,-0.1573388217794527,-65.23945076195832,5270.939646074458,,0.0544661508336009,,,,,,,,,,,,,,,
2023-10-06,5185.5498046875,512.7000122070312,-0.1854360133753812,-76.54694745634424,5262.096752143844,,0.0922843851185277,,,,,,,,,,,,,,,
2023-10-09,5138.75,515.75,-0.3376578410262338,-139.03481019433002,5277.78481019433,,0.0950804454146151,,,,,,,,,,,,,,,
2023-10-10,5196.25,539.0999755859375,-0.5513375629372839,-226.31316437363148,5422.563164373632,,0.0944009679514326,,,,,,,,,,,,,,,
2023-10-11,5154.64990234375,540.1500244140625,-0.656721644481848,-268.9941804915834,5423.644082835333,,0.0588183934539541,,,,,,,,,,,,,,,
2023-10-12,5096.89990234375,543.75,-0.8381445055981365,-341.8981962773214,5438.798098621071,,0.0601384741783917,,,,,,,,,,,,,,,
2023-10-13,5006.64990234375,543.5,-1.0383211804341728,-422.01601150977694,5428.665913853527,,0.0288725033681567,,,,,,,,,,,,,,,
2023-10-16,5040.14990234375,544.0999755859375,-0.9486008396209024,-382.8794364850437,5423.029338828794,,0.0187924200761815,,,,,,,,,,,,,,,
2023-10-17,5061.7001953125,554.5,-1.0415214938146793,-416.8750532446875,5478.575248557188,,0.0786028754114801,,,,,,,,,,,,,,,
2023-10-18,5092.10009765625,546.6500244140625,-0.8290506058592003,-330.78349694827193,5422.883594604522,,0.0751238573114465,,,,,,,,,,,,,,,
2023-10-19,5108.7998046875,549.75,-0.8217364706407546,-326.7448057143765,5435.5446104018765,,0.1191718998859032,,,,,,,,,,,,,,,
2023-10-20,5000.10009765625,548.0499877929688,-1.0543364710001757,-418.8706866141438,5418.970784270394,,0.1291749040764174,,,,,,,,,,,,,,,
2023-10-23,4915.39990234375,526.4500122070312,-0.9209723813827484,-365.7775648472089,5281.177467190959,,0.1372608723929081,,,,,,,,,,,,,,,
2023-10-25,4899.0498046875,525.2999877929688,-0.9332968483448858,-370.435024165592,5269.484828853092,,0.1542247835764236,,,,,,,,,,,,,,,
2023-10-26,4904.39990234375,528.9000244140625,-0.9635812569524698,-382.3545677831689,5286.754470126919,,0.1696719377016265,,,,,,,,,,,,,,,
2023-10-27,5008.9501953125,542.4000244140625,-0.896719934359861,-355.6725570378676,5364.622752350368,,0.139248977680867,,,,,,,,,,,,,,,
2023-10-30,4988.64990234375,542.0499877929688,-0.9299183538984088,-368.5873493820518,5357.237251725802,,0.1413069574859538,,,,,,,,,,,,,,,
2023-10-31,4984.25,547.6500244140625,-1.0132033608243614,-401.2928798489484,5385.542879848948,,0.1361780499426358,,,,,,,,,,,,,,,
2023-11-01,5026.60009765625,574.2000122070312,-1.2923621335817217,-511.1191102935063,5537.719207949756,,0.1564558248184619,,,,,,,,,,,,,,,
2023-11-02,5056.39990234375,577.7000122070312,-1.2501256075984564,-494.2253643640743,5550.625266707824,,0.1245833567112466,,,,,,,,,,,,,,,
2023-11-03,5083.10009765625,587.75,-1.3121502614331106,-517.9350112416396,5601.03510889789,,0.1218432038784917,,,,,,,,,,,,,,,
2023-11-06,5115.2998046875,597.4500122070312,-1.3505797287614458,-532.2028709784609,5647.502675665961,,0.1158915689993982,,,,,,,,,,,,,,,
2023-11-07,5087.60009765625,583.8499755859375,-1.1952501585978497,-470.4532282635792,5558.053325919829,,0.093251734596376,,,,,,,,,,,,,,,
2023-11-08,5111.7001953125,581.5499877929688,-1.0810373283619366,-424.4182018649144,5536.118397177414,,0.0824178715170049,,,,,,,,,,,,,,,
2023-11-09,5128.10009765625,583.0,-1.0423755219568156,-408.00537756041103,5536.105475216661,,0.0580491205069579,,,,,,,,,,,,,,,
2023-11-10,5139.0,583.4000244140625,-1.0031797481549452,-390.9671003021813,5529.967100302181,,0.0356031964713301,,,,,,,,,,,,,,,
2023-11-13,5085.2001953125,583.25,-1.118950279695208,-433.5930905751548,5518.793285887655,,0.0502335917193057,,,,,,,,,,,,,,,
2023-11-15,5343.25,612.4500122070312,-0.8611265190705403,-331.4585629292242,5674.708562929224,,0.0845657060057081,,,,,,,,,,,,,,,
2023-11-16,5701.10009765625,619.0,-0.015215158018637,-5.834583776944783,5706.934681433195,,0.0755031500221471,,,,,,,,,,,,,,,
2023-11-17,5674.9501953125,622.5999755859375,-0.1245419599272949,-47.61849461724887,5722.568689929749,,0.1120610016592176,,,,,,,,,,,,,,,
2023-11-20,5708.4501953125,621.4000244140625,-0.0092408427301935,-3.529309539551832,5711.979504852052,,0.1111169374032738,,,,,,,,,,,,,,,
2023-11-21,5625.39990234375,615.9000244140625,-0.1346053409588214,-51.3655248895775,5676.765427233328,,0.1022005985979924,,,,,,,,,,,,,,,
