Dates,LUPIN.NS Y,GLENMARK.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of GLENMARK.NS X,Effective Margin of LUPIN.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of LUPIN.NS X,Effective Investment of LUPIN.NS Y,Multiplier X,Multiplier Y
2022-05-30,612.9000244140625,409.4500122070313,-2.311953228424964,-188.58176916520904,801.4817935792715,,,,,,,,,,,,,,,,
2022-05-31,618.5999755859375,393.5499877929688,-1.88923664477094,-154.1383712891411,772.7383468750786,,,,,,,,,,,,,,,,
2022-06-01,607.9500122070312,388.8999938964844,-1.8935150921961383,-154.70086435406188,762.6508765610931,,,,,,,,,,,,,,,,
2022-06-02,612.7000122070312,389.1000061035156,-1.809439455861118,-148.00673942919002,760.7067516362213,,,,,,,,,,,,,,,,
2022-06-03,611.1500244140625,389.1499938964844,-1.7992820720997542,-147.24257089594585,758.3925953100083,,,,,,,,,,,,,,,,
2022-06-06,605.4500122070312,392.5499877929688,-1.909104432608566,-156.31638222916797,761.7663944361992,,,,,,,,,,,,,,,,
2022-06-07,609.6500244140625,380.1000061035156,-1.561925077480372,-127.54499098841347,737.195015402476,,,,,,,,,,,,,,,,
2022-06-08,613.2000122070312,395.3999938964844,-1.81804126426158,-148.6962673195285,761.8962795265597,,,,,,,,,,,,,,,,
2022-06-09,618.4000244140625,395.6000061035156,-1.730451188508923,-141.25041602765623,759.6504404417187,,,,,,,,,,,,,,,,
2022-06-10,618.6500244140625,388.4500122070313,-1.5426100791052488,-125.61118164140804,744.2612060554706,,,,,,,,,,,,,,,,
2022-06-13,612.25,375.3999938964844,-1.303671361227366,-105.80313409319854,718.0531340931985,,,,,,,,,,,,,,,,
2022-06-14,609.3499755859375,382.0,-1.4601770932232538,-118.42453553522876,727.7745111211663,,,,,,,,,,,,,,,,
2022-06-15,613.7000122070312,382.1499938964844,-1.384737743623768,-112.20606959108692,725.9060817981182,,,,,,,,,,,,,,,,
2022-06-16,603.0,363.7999877929688,-1.08493026206068,-87.88731662692965,690.8873166269296,,,,,,,,,,,,,,,,
2022-06-17,597.5999755859375,362.6000061035156,-1.1086320370533496,-89.91109990901225,687.5110754949498,,,,,,,,,,,,,,,,
2022-06-20,606.7999877929688,352.45001220703125,-0.7485495686757633,-60.67521788948966,667.4752056824584,,,,,,,,,,,,,,,,
2022-06-21,629.8499755859375,372.6000061035156,-0.9145247963133708,-74.2438676393648,704.0938432253023,,,,,,,,,,,,,,,,
2022-06-22,613.1500244140625,367.3500061035156,-0.9851151787003328,-80.0040622420247,693.1540866560872,,,,,,,,,,,,,,,,
2022-06-23,628.7999877929688,376.8999938964844,-1.000857461608038,-81.39585632407932,710.1958441170481,,,,,,,,,,,,,,,,
2022-06-24,629.4000244140625,384.1499938964844,-1.1467963573240054,-93.37525046281884,722.7752748768813,,,,,,,,,,,,,,,,
2022-06-27,630.0,385.7999877929688,-1.1616188656325368,-94.62121763349126,724.6212176334913,,,,,,,,,,,,,,,,
2022-06-28,633.4500122070312,387.3999938964844,-1.1413189544087072,-93.01838428729866,726.4683964943299,,,,,,,,,,,,,,,,
2022-06-29,620.6500244140625,389.25,-1.324047116905906,-107.9913980545233,728.6414224685858,,,,,,,,,,,,,,,,
2022-06-30,610.9500122070312,386.3500061035156,-1.3567083327475202,-110.75809148504152,721.7081036920728,,,,,,,,,,,,,,,,
2022-07-01,628.2999877929688,394.1000061035156,-1.3093598477390005,-106.99025050470664,735.2902382976754,,,,,,,,,,,,,,,,
2022-07-04,628.2999877929688,387.0499877929688,-1.1264588960450574,-92.03866077860891,720.3386485715777,,,,,,,,,,,,,,,,
2022-07-05,628.0,381.1499938964844,-0.9764471372437048,-79.7919923992381,707.7919923992381,,,,,,,,,,,,,,,,
2022-07-06,629.9500122070312,389.3500061035156,-1.1337101079607654,-92.74854725421484,722.6985594612461,,,,,,,,,,,,,,,,
2022-07-07,633.0,390.3999938964844,-1.1055306095461772,-90.43556103487164,723.4355610348716,,,,,,,,,,,,,,,,
2022-07-08,635.0,387.5,-0.9944409280992644,-81.25031776271544,716.2503177627154,,,,,,,,,,,,,,,,
2022-07-11,642.5499877929688,390.2999877929688,-0.955783058463985,-78.09108162901043,720.6410694219792,,,,,,,,,,,,,,,,
2022-07-12,633.2999877929688,379.7999877929688,-0.80017390367562,-65.29460725674312,698.5945950497119,,,,,,,,,,,,,,,,
2022-07-13,647.0,385.7000122070313,-0.7635469728457555,-62.27091561537668,709.2709156153767,,,,,,,,,,,,,,,,
2022-07-14,643.25,389.2999877929688,-0.8843130102135661,-72.10458573070798,715.354585730708,,,,,,,,,,,,,,,,
2022-07-15,640.8499755859375,380.5,-0.6847058215302022,-55.76665805527409,696.6166336412116,,,,,,,,,,,,,,,,
2022-07-18,645.4000244140625,381.4500122070313,-0.6400208753243247,-52.09185276886865,697.4918771829311,,,,,,,,,,,,,,,,
2022-07-19,643.7999877929688,383.8999938964844,-0.7084480407403061,-57.6359672335833,701.435955026552,,,,,,,,,,,,,,,,
2022-07-20,657.5,384.0499877929688,-0.5345339092242148,-43.46947054805628,700.9694705480563,,,,,,,,,,,,,,,,
2022-07-21,650.0,381.1000061035156,-0.5441640661844708,-44.235037696385575,694.2350376963856,,,,,,,,,,,,,,,,
2022-07-22,639.4500122070312,374.5,-0.4991571603901745,-40.54553010439406,679.9955423114253,,,,,,,,,,,,,,,,
2022-07-25,632.4500122070312,374.1000061035156,-0.5643556904758226,-45.813698491955165,678.2637106989864,,,,,,,,,,,,,,,,
2022-07-26,627.75,361.8500061035156,-0.3056145346101398,-24.773577781027484,652.5235777810275,,,,,,,,,,,,,,,,
2022-07-27,640.5499877929688,376.3999938964844,-0.5059792402375368,-41.012993968454,681.5629817614227,,,,,,,,,,,,,,,,
2022-07-28,641.5999755859375,380.0499877929688,-0.5756523105020904,-46.62135129492856,688.2213268808661,,,,,,,,,,,,,,,,
2022-07-29,644.0999755859375,380.8500061035156,-0.5544492835381545,-44.82469138129545,688.924666967233,,,,,,,,,,,,,,,,
2022-08-01,641.1500244140625,380.6000061035156,-0.5746263356735496,-46.39807494640024,687.5480993604627,,,,,,,,,,,,,,,,
2022-08-02,638.6500244140625,376.4500122070313,-0.4914594427083711,-39.64360720238005,678.2936316164426,,,,,,,,,,,,,,,,
2022-08-03,627.5999755859375,369.8500061035156,-0.4525920596832455,-36.49385096464937,664.0938265505869,,,,,,,,,,,,,,,,
2022-08-04,659.9500122070312,377.7999877929688,-0.2503334824372648,-20.173959488600417,680.1239716956317,,,,,,,,,,,,,,,,
2022-08-05,668.0999755859375,378.25,-0.156837769855923,-12.630303440675334,680.7302790266128,,,,,,,,,,,,,,,,
2022-08-08,666.6500244140625,371.6000061035156,0.0002208588877573,0.0177643711238033,666.6322600429387,0.0,,,,,,,,,,,,,,,
2022-08-10,669.8499755859375,375.8500061035156,-0.0659897410423104,-5.305029604701986,675.1550051906395,,,,,,,,,,,,,,,,
2022-08-11,690.25,389.0,-0.1465451984729182,-11.755419903450957,702.005419903451,,,,,,,,,,,,,,,,
