Dates,ABBOTINDIA.NS Y,ZYDUSLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ZYDUSLIFE.NS X,Effective Margin of ABBOTINDIA.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ABBOTINDIA.NS X,Effective Investment of ABBOTINDIA.NS Y,Multiplier X,Multiplier Y
2023-09-07,23029.05078125,633.0,-0.5703349438701555,-679.2871177842862,23708.337899034286,,0.0613743282386576,,,,,,,,,,,,,,,
2023-09-08,23002.30078125,628.1500244140625,-0.511629548577452,-608.980418584033,23611.281199834037,,0.0506061038368245,,,,,,,,,,,,,,,
2023-09-11,22985.099609375,628.5499877929688,-0.5383932949045285,-639.7667509744606,23624.86636034946,,0.0590737308937614,,,,,,,,,,,,,,,
2023-09-12,22897.25,627.75,-0.6001194352043449,-712.492052679263,23609.742052679263,,0.0629079296461184,,,,,,,,,,,,,,,
2023-09-13,23004.150390625,643.25,-0.7797108327737214,-924.576941110634,23928.727331735638,,0.0776765493886473,,,,,,,,,,,,,,,
2023-09-14,22910.599609375,639.9000244140625,-0.7952221951567,-943.3915577521328,23853.991167127133,,0.0785604100300517,,,,,,,,,,,,,,,
2023-09-15,23351.150390625,645.3499755859375,-0.5178578519243746,-614.1164855531424,23965.266876178142,,0.0659766922913942,,,,,,,,,,,,,,,
2023-09-18,23308.349609375,643.4000244140625,-0.5210897486628239,-617.6923667091614,23926.04197608416,,0.0683208175971024,,,,,,,,,,,,,,,
2023-09-20,23191.5,624.75,-0.2968698773554529,-352.03990986937424,23543.53990986937,,0.0669289466695025,,,,,,,,,,,,,,,
2023-09-21,22838.349609375,615.6500244140625,-0.4362807780398082,-517.4073439454442,23355.756953320444,,0.0347749674542429,,,,,,,,,,,,,,,
2023-09-22,22543.25,595.5999755859375,-0.345391613850933,-408.3191097109048,22951.569109710905,,0.0641626741275435,,,,,,,,,,,,,,,
2023-09-25,22650.650390625,603.3499755859375,-0.3958873040982186,-467.1570084293234,23117.807399054323,,0.1093653745235124,,,,,,,,,,,,,,,
2023-09-26,22710.80078125,598.0499877929688,-0.250154125754838,-295.2712632385992,23006.0720444886,,0.1026788503783558,,,,,,,,,,,,,,,
2023-09-27,22743.30078125,605.1500244140625,-0.3401228267086524,-401.1934890449993,23144.494270295,,0.1023723501488692,,,,,,,,,,,,,,,
2023-09-28,22370.650390625,602.75,-0.6041030386258361,-712.4999109624187,23083.15030158742,,0.1270773598778752,,,,,,,,,,,,,,,
2023-09-29,23179.44921875,615.0,-0.1312164124568124,-154.68651602166938,23334.13573477167,,0.1156906336991611,,,,,,,,,,,,,,,
2023-10-03,23121.80078125,611.0499877929688,-0.1112348318280385,-131.15150408097543,23252.95228533097,,0.1159969954454243,,,,,,,,,,,,,,,
2023-10-04,22815.94921875,603.4500122070312,-0.2365255254239421,-278.9753520574959,23094.924570807496,,0.1180768730598071,,,,,,,,,,,,,,,
2023-10-05,22861.94921875,605.0499877929688,-0.2233747236418571,-263.46422393995454,23125.413442689955,,0.1181425422681833,,,,,,,,,,,,,,,
2023-10-06,23036.400390625,603.75,-0.0528080043850986,-62.289501696719526,23098.68989232172,,0.1154644416534412,,,,,,,,,,,,,,,
2023-10-09,22962.55078125,601.2000122070312,-0.0717482488345854,-84.6345610319404,23047.18534228194,,0.1153902673414293,,,,,,,,,,,,,,,
2023-10-10,22748.05078125,600.0,-0.2322967347830024,-274.02975053106275,23022.080531781063,,0.1171369000576097,,,,,,,,,,,,,,,
2023-10-11,22430.25,599.8499755859375,-0.4961920122692009,-585.4710971486566,23015.721097148657,,0.1107466930014083,,,,,,,,,,,,,,,
2023-10-12,22306.80078125,593.9500122070312,-0.4980437482233493,-587.561412027113,22894.362193277117,,0.1203481026850811,,,,,,,,,,,,,,,
2023-10-13,22389.25,591.9500122070312,-0.3927855305995862,-463.3647537974393,22852.61475379744,,0.1263565038642445,,,,,,,,,,,,,,,
2023-10-16,22476.900390625,591.2000122070312,-0.3038914852229096,-358.5374331897692,22835.43782381477,,0.1175166282705597,,,,,,,,,,,,,,,
2023-10-17,22422.650390625,590.2999877929688,-0.3344112565837566,-394.4395520489125,22817.089942673912,,0.114377997139601,,,,,,,,,,,,,,,
2023-10-18,22427.94921875,583.7999877929688,-0.2177953565653461,-256.8161750586296,22684.76539380863,,0.110741934264482,,,,,,,,,,,,,,,
2023-10-19,22656.099609375,590.2000122070312,-0.138363478066201,-163.01895821226935,22819.11856758727,,0.1214982319403273,,,,,,,,,,,,,,,
2023-10-20,22640.25,578.9000244140625,0.043723682553763,51.52371701584707,22588.726282984157,,0.1153095863763699,,,,,,,,,,,,,,,
2023-10-23,22716.05078125,570.3499755859375,0.2541534563973743,299.4616363332352,22416.589144916765,,0.1101085431802296,,,,,,,,,,,,,,,
2023-10-25,22511.349609375,574.7000122070312,0.0013908250462412,1.6374331340957724,22509.712176240904,,0.1051115232106749,,,,,,,,,,,,,,,
2023-10-26,22232.400390625,571.2999877929688,-0.178115628477761,-209.56030428596569,22441.96069491097,,0.1205484593264397,,,,,,,,,,,,,,,
2023-10-27,22670.69921875,575.0499877929688,0.1263799483730956,148.6432546760334,22522.055964073967,,0.1205931899647013,,,,,,,,,,,,,,,
2023-10-30,22481.75,580.25,-0.1261417768952679,-148.3186618984364,22630.06866189844,,0.1196468810882055,,,,,,,,,,,,,,,
2023-10-31,22413.650390625,573.5499877929688,-0.0672760962566249,-79.10758724862535,22492.757977873625,,0.1118677949424024,,,,,,,,,,,,,,,
2023-11-01,22234.94921875,575.4000244140625,-0.2527255039346339,-297.0249425203474,22531.974161270347,,0.1115399580854807,,,,,,,,,,,,,,,
2023-11-02,22382.099609375,577.7999877929688,-0.1712807758854753,-201.18550562011296,22583.285114995117,,0.1074718178264244,,,,,,,,,,,,,,,
2023-11-03,22796.150390625,584.8499755859375,0.0540978671251927,63.48692099757318,22732.663469627427,,0.1102819698060522,,,,,,,,,,,,,,,
2023-11-06,23314.0,584.8499755859375,0.4902598442889724,575.2095192927372,22738.790480707263,,0.1055408688619586,,,,,,,,,,,,,,,
2023-11-07,23786.44921875,597.2999877929688,0.6662693019143713,781.0961949107659,23005.353023839238,,0.1159767037095635,,,,,,,,,,,,,,,
2023-11-08,24265.69921875,625.2000122070312,0.5746046046746572,672.7707487215885,23592.92847002841,,0.1157771086480056,,,,,,,,,,,,,,,
2023-11-09,23879.44921875,612.4500122070312,0.4650143711744681,544.6047132938475,23334.844505456156,,0.1141600743729687,,,,,,,,,,,,,,,
2023-11-10,23705.650390625,619.9000244140625,0.1812632464030796,212.15197984761107,23493.49841077739,,0.1119256899303336,,,,,,,,,,,,,,,
2023-11-13,23152.650390625,620.25,-0.2962113426031658,-346.62704377910995,23499.27743440411,,0.1112781014115358,,,,,,,,,,,,,,,
2023-11-15,22926.25,621.1500244140625,-0.5024502647276994,-587.972605893272,23514.222605893272,,0.1162864849697196,,,,,,,,,,,,,,,
2023-11-16,23293.55078125,631.8499755859375,-0.3761451413211965,-439.9794466339117,23733.53022788391,,0.1030308642057963,,,,,,,,,,,,,,,
2023-11-17,23625.5,636.5499877929688,-0.1759772759389896,-205.6684376989033,23831.168437698903,,0.1027143778837564,,,,,,,,,,,,,,,
2023-11-20,23975.80078125,636.0,0.1306830145704638,152.65370686143433,23823.14707438857,,0.1019098541346253,,,,,,,,,,,,,,,
2023-11-21,23950.599609375,639.0499877929688,0.0525205997581664,61.31141339973328,23889.288195975267,,0.099083783524615,,,,,,,,,,,,,,,
2023-11-22,23904.25,642.0499877929688,-0.0416851288928585,-48.6266806681997,23952.8766806682,,0.090479441027828,,,,,,,,,,,,,,,
2023-11-23,23886.5,631.5999755859375,0.1256362929855224,146.47081574680487,23740.029184253195,,0.0930067874248652,,,,,,,,,,,,,,,
2023-11-24,24045.849609375,639.9000244140625,0.1119067246303411,130.3084705395304,23915.54113883547,,0.0897855745734094,,,,,,,,,,,,,,,
2023-11-28,23697.75,629.7999877929688,-0.0089806450832921,-10.450888913743256,23708.200888913743,,0.0885707588931349,,,,,,,,,,,,,,,
2023-11-29,23537.80078125,635.0499877929688,-0.2403517943974197,-279.3716829663608,23817.17246421636,,0.084265951822233,,,,,,,,,,,,,,,
2023-11-30,23805.150390625,637.5499877929688,-0.0564876842408271,-65.5689385588521,23870.71932918385,,0.0865153131265273,,,,,,,,,,,,,,,
2023-12-01,23679.5,639.7000122070312,-0.2031814741831373,-235.5883199654236,23915.088319965424,,0.0832285220941345,,,,,,,,,,,,,,,
2023-12-04,23398.75,633.4000244140625,-0.3324418279413284,-385.1259801681263,23783.875980168126,,0.080642160015322,,,,,,,,,,,,,,,
2023-12-05,23110.44921875,634.0499877929688,-0.591040438073323,-683.9683849610701,23794.41760371107,,0.0718257726228999,,,,,,,,,,,,,,,
2023-12-06,23078.05078125,635.4500122070312,-0.6430224513701227,-742.8162382798255,23820.867019529825,,0.0610867396698931,,,,,,,,,,,,,,,
2023-12-07,23073.400390625,657.9500122070312,-1.045321624583612,-1204.3919923941794,24277.79238301918,,0.0633382793028,,,,,,,,,,,,,,,
2023-12-08,22858.0,638.5499877929688,-0.8830664673993087,-1015.7062627214692,23873.70626272147,,0.0714723291585381,,,,,,,,,,,,,,,
2023-12-11,23046.55078125,633.5999755859375,-0.6298853677590528,-723.1715004045509,23769.72228165455,,0.0617285463963931,,,,,,,,,,,,,,,
2023-12-12,22825.0,635.4000244140625,-0.8530278317261833,-977.4942996782048,23802.494299678205,,0.0550883800656991,,,,,,,,,,,,,,,
2023-12-13,22780.849609375,642.4000244140625,-1.0141768747246251,-1159.200318953437,23940.04992832844,,0.0628435176419023,,,,,,,,,,,,,,,
2023-12-14,22742.0,643.7999877929688,-1.0683580291318855,-1218.7929664367402,23960.79296643674,,0.0540679884013559,,,,,,,,,,,,,,,
2023-12-15,22694.80078125,645.9000244140625,-1.1434298623550272,-1301.1939810687982,23995.9947623188,,0.0586487836104159,,,,,,,,,,,,,,,
2023-12-18,22780.30078125,680.5999755859375,-1.6776392889007268,-1905.253005855473,24685.553787105477,,0.1139908115993814,,,,,,,,,,,,,,,
2023-12-19,22902.25,685.8499755859375,-1.6464375437906136,-1870.9541198624504,24773.20411986245,,0.1093503671546154,,,,,,,,,,,,,,,
