Dates,COFORGE.NS Y,FSL.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of FSL.NS X,Effective Margin of COFORGE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of COFORGE.NS X,Effective Investment of COFORGE.NS Y,Multiplier X,Multiplier Y
2023-02-24,4377.5,116.0999984741211,1.093186702237915,549.5187678224438,3827.981232177556,,0.0921908008565056,,,,,,,,,,,,,,,
2023-02-27,4273.9501953125,113.1500015258789,0.97873792115114,490.5308593780896,3783.4193359344094,,0.0952909254801845,,,,,,,,,,,,,,,
2023-02-28,4298.64990234375,112.6500015258789,1.0376660910234263,518.8471252556938,3779.802777088056,,0.0727229570738314,,,,,,,,,,,,,,,
2023-03-01,4300.35009765625,113.5500030517578,1.005128470754729,500.7799237304721,3799.570173925778,,0.0676614200453648,,,,,,,,,,,,,,,
2023-03-02,4249.7001953125,110.5999984741211,0.9946807220163798,493.6359238205701,3756.06427149193,,0.0608073199356282,,,,,,,,,,,,,,,
2023-03-03,4258.39990234375,110.0,1.025346852767215,506.7701500271114,3751.629752316639,,0.0704673100878266,,,,,,,,,,,,,,,
2023-03-06,4328.35009765625,115.75,0.9701286759602988,477.8474111774863,3850.502686478764,,0.0884387881721659,,,,,,,,,,,,,,,
2023-03-08,4279.60009765625,114.6500015258789,0.9013584046107064,442.7601443850626,3836.8399532711874,,0.0815599896325559,,,,,,,,,,,,,,,
2023-03-09,4255.35009765625,116.1500015258789,0.7965153004139156,390.0902733323496,3865.259824323901,,0.0877077542942701,,,,,,,,,,,,,,,
2023-03-10,4136.35009765625,113.8000030517578,0.6253562865474208,305.3934076716232,3830.956689984627,,0.0794103499973787,,,,,,,,,,,,,,,
2023-03-13,4084.64990234375,113.5999984741211,0.5209960292071457,253.6652752998334,3830.9846270439166,,0.0720419611057449,,,,,,,,,,,,,,,
2023-03-14,3921.64990234375,112.1500015258789,0.2287308730990681,110.9767749488492,3810.673127394901,,0.0641602614456087,,,,,,,,,,,,,,,
2023-03-15,3950.0,111.9000015258789,0.2896689003430513,140.0423312509579,3809.957668749042,,0.0739477048852766,,,,,,,,,,,,,,,
2023-03-16,3852.050048828125,112.0,0.0783922001133207,37.78403691257336,3814.266011915552,,0.0646078973787242,,,,,,,,,,,,,,,
2023-03-17,3901.0,112.0999984741211,0.171015014846713,82.14582197514437,3818.854178024856,,0.0510622145461698,,,,,,,,,,,,,,,
2023-03-20,3774.64990234375,110.5,-0.0452775082489253,-21.65304242655202,3796.302944770302,,0.0458218476682362,,,,,,,,,,,,,,,
2023-03-21,3712.60009765625,110.6999969482422,-0.1884676694483985,-89.7179943433157,3802.3180919995657,,0.0426447383255182,,,,,,,,,,,,,,,
2023-03-22,3738.64990234375,111.75,-0.1759367151772353,-83.35368714346487,3822.003589487215,,0.0506820413167372,,,,,,,,,,,,,,,
2023-03-23,3748.60009765625,110.6500015258789,-0.1250318419939425,-58.99123243412987,3807.59133009038,,0.0611336825618991,,,,,,,,,,,,,,,
2023-03-24,3700.5,110.0500030517578,-0.2127041422273513,-100.02650249411636,3800.526502494117,,0.0506769827428592,,,,,,,,,,,,,,,
2023-03-27,3635.75,110.8000030517578,-0.3818129452221738,-178.86268846370422,3814.612688463704,,0.0437329276585166,,,,,,,,,,,,,,,
2023-03-28,3598.050048828125,107.3000030517578,-0.3515918022437416,-163.94313793351284,3761.993186761638,,0.0509267761458792,,,,,,,,,,,,,,,
2023-03-29,3660.35009765625,104.6999969482422,-0.1363726145895761,-63.33303780428378,3723.683135460534,,0.0454993629500195,,,,,,,,,,,,,,,
2023-03-31,3814.10009765625,105.5,0.1616778525587296,74.77817814688115,3739.321919509369,,0.048291657926103,,,,,,,,,,,,,,,
2023-04-03,3851.35009765625,104.6500015258789,0.2654965745449385,122.33102349128148,3729.019074164969,,0.0468477068306547,,,,,,,,,,,,,,,
2023-04-05,4079.199951171875,106.0999984741211,0.7050782133684387,323.79468164468653,3755.405269527189,,0.0590827030772781,,,,,,,,,,,,,,,
2023-04-06,4000.10009765625,111.6999969482422,0.3380140738301516,154.77747947375428,3845.322618182496,,0.0619455344966233,,,,,,,,,,,,,,,
2023-04-10,4061.300048828125,113.3499984741211,0.4106037389412427,187.57609028046863,3873.723958547656,,0.0333806708485421,,,,,,,,,,,,,,,
2023-04-11,4004.85009765625,113.3499984741211,0.2812360223345103,127.82134801786788,3877.028749638382,,0.0481550946151422,,,,,,,,,,,,,,,
2023-04-12,4065.199951171875,113.8499984741211,0.3917907294504394,177.449329614843,3887.750621557032,,0.0589378081706327,,,,,,,,,,,,,,,
