Dates,HEROMOTOCO.NS Y,ASHOKLEY.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of ASHOKLEY.NS X,Effective Margin of HEROMOTOCO.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HEROMOTOCO.NS X,Effective Investment of HEROMOTOCO.NS Y,Multiplier X,Multiplier Y
2022-08-02,2771.449951171875,148.6999969482422,0.1733039760156027,48.00704344649466,2723.4429077253803,,,,,,,,,,,,,,,,
2022-08-03,2801.89990234375,148.5,0.2889031399468122,79.87904025924263,2722.020862084508,,,,,,,,,,,,,,,,
2022-08-04,2807.0,145.89999389648438,0.278935309261483,76.9955808647428,2730.004419135257,,,,,,,,,,,,,,,,
2022-08-05,2770.699951171875,144.9499969482422,0.1415059606360522,38.98742496486466,2731.7125262070103,,,,,,,,,,,,,,,,
2022-08-08,2738.050048828125,145.1999969482422,0.0332745096790488,9.15436348098774,2728.8956853471373,,,,,,,,,,,,,,,,
2022-08-10,2775.449951171875,147.0,0.200484059463013,55.09365362347216,2720.356297548403,,,,,,,,,,,,,,,,
2022-08-11,2785.300048828125,145.85000610351562,0.2228592829783224,61.19221788783807,2724.107830940287,,,,,,,,,,,,,,,,
2022-08-12,2761.89990234375,147.14999389648438,0.1598245869695602,43.86481766721226,2718.0350846765377,,,,,,,,,,,,,,,,
2022-08-16,2817.0,149.5,0.3973298388728546,109.00753123752293,2707.992468762477,,,,,,,,,,,,,,,,
2022-08-17,2913.449951171875,147.89999389648438,0.7212186300721861,197.97746121058617,2715.472489961289,,,,,,,,,,,,,,,,
2022-08-18,2908.199951171875,147.35000610351562,0.6905986397977671,189.6588718861094,2718.5410792857656,,,,,,,,,,,,,,,,
2022-08-19,2838.64990234375,148.0,0.4451754139990554,122.27230682586378,2716.377595517886,,,,,,,,,,,,,,,,
2022-08-22,2780.550048828125,142.1999969482422,0.1430354974556591,39.31416073798255,2741.2358880901425,,,,,,,,,,,,,,,,
2022-08-23,2803.39990234375,146.64999389648438,0.2954303726768301,81.15798169317804,2722.241920650572,,,,,,,,,,,,,,,,
2022-08-24,2806.35009765625,149.4499969482422,0.3458449079116878,94.96640924129632,2711.3836884149537,,,,,,,,,,,,,,,,
2022-08-25,2799.800048828125,147.5500030517578,0.2891633195528117,79.41908898437032,2720.3809598437547,,,,,,,,,,,,,,,,
2022-08-26,2826.75,149.5,0.4144277612542787,113.81218482949636,2712.937815170504,,,,,,,,,,,,,,,,
2022-08-29,2827.050048828125,148.14999389648438,0.3934104380068132,108.07457452592008,2718.975474302205,,,,,,,,,,,,,,,,
2022-08-30,2837.699951171875,154.0,0.5193375994206731,142.57333938011925,2695.126611791756,,,,,,,,,,,,,,,,
2022-09-01,2876.64990234375,162.75,0.790654554559626,216.7990265435228,2659.850875800227,,,,,,,,,,,,,,,,
2022-09-02,2825.14990234375,163.64999389648438,0.613137882221314,168.132219682077,2657.017682661673,,,,,,,,,,,,,,,,
2022-09-05,2842.050048828125,164.60000610351562,0.6856644853320711,188.0299927983674,2654.0200560297576,,,,,,,,,,,,,,,,
2022-09-06,2866.550048828125,165.0,0.7784140143302818,213.4786142983257,2653.0714345297997,,,,,,,,,,,,,,,,
2022-09-07,2854.75,161.9499969482422,0.6880715686608148,188.82346735814463,2665.9265326418554,,,,,,,,,,,,,,,,
2022-09-08,2857.300048828125,164.39999389648438,0.7322795002355457,200.89223796681156,2656.407810861313,,,,,,,,,,,,,,,,
2022-09-09,2838.449951171875,166.5500030517578,0.6920523986075402,189.82716465072644,2648.622786521149,,,,,,,,,,,,,,,,
2022-09-12,2857.89990234375,165.0,0.7326325145152065,201.13115670700063,2656.7687456367494,,,,,,,,,,,,,,,,
2022-09-13,2870.0,163.9499969482422,0.751839527203496,206.57662835802284,2663.423371641977,,,,,,,,,,,,,,,,
2022-09-14,2851.5,163.0,0.6621898989831654,182.06715407681892,2669.432845923181,,,,,,,,,,,,,,,,
2022-09-15,2790.300048828125,165.10000610351562,0.46387910922245,127.5117138534215,2662.7883349747035,,,,,,,,,,,,,,,,
2022-09-16,2685.199951171875,160.4499969482422,0.0123803599942231,3.4064692724609813,2681.793481899414,,,,,,,,,,,,,,,,
2022-09-19,2704.39990234375,161.35000610351562,0.0916441479418376,25.208263720466675,2679.191638623284,,,,,,,,,,,,,,,,
2022-09-20,2771.550048828125,162.4499969482422,0.347097387448212,95.46530649326814,2676.084742334857,,,,,,,,,,,,,,,,
2022-09-21,2776.64990234375,162.1999969482422,0.3589990316040909,98.757949878644,2677.891952465106,,,,,,,,,,,,,,,,
2022-09-22,2776.949951171875,164.5,0.3909007576274548,107.49265517289268,2669.4572959989823,,,,,,,,,,,,,,,,
2022-09-23,2762.050048828125,159.3000030517578,0.264355513573514,72.76125816914009,2689.288790658985,,,,,,,,,,,,,,,,
2022-09-26,2721.35009765625,154.5,0.0477079277114349,13.142666064674811,2708.207431591575,,,,,,,,,,,,,,,,
2022-09-27,2638.25,150.89999389648438,-0.304771327446104,-84.00906463869842,2722.2590646386984,,,,,,,,,,,,,,,,
2022-09-28,2591.35009765625,149.8000030517578,-0.4905801949643303,-135.23862759040685,2726.588725246657,,,,,,,,,,,,,,,,
2022-09-29,2536.300048828125,149.35000610351562,-0.6948483122600694,-191.61504990762296,2727.915098735748,,,,,,,,,,,,,,,,
